SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Common Equity,268583,"12,219,000","44,293","6,207,000","5,436,000","1,925,397",(15),NA,"5,925,005.00","-3,331,000.00","467,304.20","-1,677,000.00","25,205,000.00","253,963.00","6,427.33","347,288.00","8,695,600.00","33,119.67","5,533.97","-3,588.22","489,915.00","51,402.84",NA,"1,071,700.00","10,955,000.00","3,770,774.00",NA,"3,194,336.00","475,732.81","13,151.40","12,170,000.00","26,374,000.00","23,387.73","51,181.17","7,137,767.00","217,530.26","49,697,000.00","4,981,200.00","1,075,000.00","20,717,880.00","7,897,751.83","278,634.82","31,428,000.00","189,442.06","7,476.22","27,607,000.00","8,083.45","269,859.25","1,350,798.00","89,903.63","44,635,000.00","140,582.00","10,236,400.00","9,187,000.00","10,716,000.00","-1,689.19","10,367,000.00","16,282,857.76",NA,"3,495,470.24","1,169,900.00","91,278.98","4,993.28","647,500.33",NA,"-3,519,000.00","-1,072,000.00",-110.31,"996,000.00","24,447,000.00","30,605,000.00","12,418,000.00",NA,"3,813,000.00","2,042,526.00","5,581,000.00","-14,606,000.00","9,365,000.00","2,042.58","4,186,000.00","402,333.91","96,624.09","-3,454,000.00",NA,"-1,755,000.00","310,237.46","4,464,000.00","5,812.48","3,698.68","2,680.50","-3,510,000.00","6,087.61","1,641,000.00","65,572.63",-731.42,"2,884,341.00","14,984,000.00","14,511,000.00","9,431.72","56,983.28","51,521.18","367,017.94","2,690,000.00","86,593.70","123,999.17","4,882,000.00","5,211.91","21,364,000.00",NA,"10,816,000.00","1,616,904.45","26,425,000.00","7,600,000.00","1,141,268.00","1,226,400.00","11,235.62","600,619.96","7,960,000.00","1,559,832.52","6,567.82","3,939,361.00","163,263.73","61,516,000.00","44,404.77","1,759,000.00","7,466.85","-3,055.88","3,578,886.00","2,207,000.00","63,000.00",NA,"1,467,600.00","4,549.59","23,490,000.00","5,029,354.00","100,722,000.00","12,452,000.00",NA
Total Equity,268585,"12,348,000","44,181","6,207,000","6,463,000","1,925,397",(15),NA,"5,997,417.00","-3,325,000.00","465,415.95","-1,676,000.00","25,205,000.00","350,145.87","6,427.33","360,450.71","8,695,600.00","33,119.67","5,533.97","-3,588.22","489,915.00","69,678.72",NA,"1,093,100.00","10,955,000.00","3,770,774.00",NA,"3,241,782.00","482,758.32","13,151.40","12,175,000.00","30,722,000.00","23,388.09","51,181.17","7,137,767.00","342,415.69","51,794,000.00","5,112,500.00","1,075,000.00","24,403,269.00","7,897,751.83","275,898.22","46,580,000.00","191,966.44","7,476.22","27,607,000.00","8,846.82","284,223.44","1,350,798.00","89,903.63","44,660,000.00","124,409.00","10,243,300.00","9,418,000.00","11,128,000.00","-1,689.19","10,409,000.00","18,425,421.52",NA,"3,495,906.90","1,197,500.00","91,278.98","4,993.28","647,500.33",NA,"-438,000.00","-1,072,000.00",362.87,"1,101,000.00","24,447,000.00","31,926,000.00","12,413,000.00",NA,"3,813,000.00","2,042,526.00","10,097,000.00","-14,606,000.00","9,365,000.00","2,042.58","4,186,000.00","413,280.70","111,736.82","-3,454,000.00",NA,"-1,381,000.00","375,680.93","4,523,000.00","5,812.48","3,698.68","2,686.23","-3,460,000.00","6,087.61","1,659,000.00","65,572.63",-731.42,"2,955,259.00","14,984,000.00","14,511,000.00","9,431.72","60,675.00","51,521.18","438,837.01","2,690,000.00","87,309.33","123,999.17","4,924,000.00","5,211.91","22,120,000.00",NA,"11,269,000.00","1,961,061.39","35,105,000.00","12,860,000.00","1,141,268.00","1,230,600.00","11,235.62","589,435.57","8,142,000.00","1,559,778.57","6,567.82","3,939,361.00","183,852.64","63,344,000.00","44,404.77","1,759,000.00","7,466.85","-3,055.88","3,759,118.00","2,236,000.00","63,000.00",NA,"1,467,600.00","4,549.59","26,315,000.00","5,087,653.00","102,037,000.00","14,865,000.00",NA
Current Ratio (x),274464,0.86,10.01,1.17,0.89,1.07,0.71,NA,1.43,1.23,1.24,1.57,1.13,1.45,6.54,1.05,0.94,1.59,36.05,0.78,1.65,0.83,NA,0.54,0.93,0.27,NA,1.43,1.85,5.55,0.88,0.73,1.19,26.45,2.13,1.74,0.77,0.85,1.12,0.57,6.85,7.41,1.12,2.00,1.65,1.09,2.68,0.41,2.45,0.73,1.13,1.84,0.99,0.98,1.69,1.00,1.98,1.48,NA,NA,1.66,0.08,4.45,1.33,NA,1.19,0.72,0.82,1.03,0.47,0.45,0.87,NA,1.21,33.33,1.19,1.17,0.77,12.06,1.38,3.00,0.69,1.18,NA,0.93,3.68,1.66,3.93,64.82,0.95,0.57,18.78,1.20,1.43,0.58,1.22,0.95,0.78,1.27,1.69,199.58,1.58,1.13,5.06,5.32,1.44,95.72,0.67,NA,0.72,1.39,1.01,1.01,2.41,1.12,1.70,1.63,0.18,2.60,1.36,0.56,0.73,1.01,3.69,0.95,2.88,0.25,0.79,1.26,1.08,NA,1.91,NA,1.56,3.08,0.61,0.41,NA
Quick Ratio (x),274465,0.44,9.94,0.74,0.68,0.87,0.12,NA,1.00,0.35,1.17,0.80,0.44,0.16,6.54,0.90,0.29,1.44,34.74,0.78,1.46,0.60,NA,0.33,0.74,0.19,NA,0.94,1.20,4.53,0.73,0.32,0.44,25.94,1.49,1.38,0.30,0.70,0.79,0.52,6.47,7.22,0.88,0.87,0.95,0.65,1.50,0.33,1.13,0.51,0.92,0.77,0.72,0.67,0.75,0.01,1.20,1.07,NA,NA,1.21,0.04,2.30,1.27,NA,0.90,0.36,0.75,0.65,0.24,0.27,0.29,NA,0.08,0.73,0.91,0.17,0.67,11.78,0.25,2.82,0.47,0.90,NA,0.46,0.94,1.11,2.10,64.62,0.95,0.47,18.26,0.95,0.81,0.56,1.10,0.74,0.65,1.22,0.44,199.36,1.15,0.42,2.83,5.13,0.72,95.20,0.45,NA,0.59,0.46,0.72,0.91,0.93,0.23,1.01,0.76,0.08,2.52,1.34,0.53,0.50,0.61,2.62,0.85,2.88,0.17,0.65,0.70,0.32,NA,0.67,NA,1.02,2.49,0.47,0.25,NA
Total Debt/Equity (%),274466,158.92,0.36,924.46,84.96,516.82,NA,NA,47.41,NM,167.62,NM,74.42,107.20,14.07,18.36,100.88,14.53,NA,NM,97.16,106.85,NA,454.20,202.53,74.10,NA,92.21,34.28,17.00,162.01,145.20,41.35,122.32,41.65,216.49,168.90,97.10,65.77,34.39,35.61,18.54,130.11,8.42,25.48,174.86,2.02,67.81,83.36,27.29,353.30,258.99,39.34,97.52,73.27,NM,82.37,28.14,NA,0.17,280.61,147.16,7.63,60.24,NA,NM,NM,20.25,373.84,76.42,103.99,155.45,NA,199.32,79.84,258.52,NM,85.37,NA,144.10,19.79,340.08,NM,NA,NM,8.59,312.49,2.39,2.56,5.30,NM,NA,393.31,1.17,NM,89.05,120.97,122.31,18.72,49.96,17.08,336.19,207.55,1.42,8.07,121.93,NA,144.85,NA,835.85,230.89,74.03,69.85,142.99,177.20,5.04,23.10,247.10,27.27,2.34,45.68,331.17,67.80,16.91,126.15,55.35,NM,134.26,599.73,"1,617.46",NA,83.46,NA,41.25,149.89,169.09,184.40,NA
Total Debt / Total Capital (%),274467,61.38,0.36,90.24,45.93,83.79,NA,NA,32,106,63,144,43,52,12,16,50,13,NA,167,49,52,NA,82,67,43,NA,48,26,15,62,59,29,55,29,68,63,49,40,26,26,16,57,8,20,64,2,40,45,21,78,72,28,49,42,184,45,22,NA,0,74,60,7,38,NA,101,111,17,79,43,51,61,NA,67,44,72,157,46,NA,59,17,77,107,NA,123,8,76,2,2,5,115,NA,80,1,NM,47,55,55,16,33,15,77,67,1,7,55,NA,59,NA,89,70,43,41,59,64,5,19,71,21,2,31,77,40,14,56,36,621,57,86,94,NA,45,NA,29,60,63,65,NA
Total Debt / EBITDA (x),274468,5.39,NM,3.85,0.95,7.24,NA,NA,3,13,2,4,4,13,NM,0,4,0,NA,6,3,6,NA,6,6,NM,NA,3,1,NM,3,6,2,NA,2,4,5,3,2,2,2,1,4,0,2,5,0,5,1,2,21,3,4,3,2,NA,2,1,NA,0,4,NM,6,3,NA,3,2,NM,3,5,5,2,NA,6,174,5,3,2,NA,3,1,4,3,NA,1,2,2,0,0,NM,2,NA,2,0,NA,2,4,3,2,2,NA,7,8,0,0,3,NA,5,NA,4,77,2,4,3,11,21,1,3,1,0,2,6,3,NM,3,NA,NM,4,3,2,NA,2,NA,3,5,3,4,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"2,016,000",NA,"8,149,000","2,642,000","542,854",16,NA,"6,814,017","19,496,000","229,654","1,384,000","4,333,000","24,839",464,"411,446","2,794,900","21,498",326,"2,323","179,024","87,452",NA,"643,000","2,920,000","610,666",NA,"984,168","155,152","3,073","3,423,000","4,076,000","7,238","12,024","1,866,059","145,416","8,249,000","1,442,000","552,000","2,372,131","669,976","29,948","21,020,000","81,521","3,527","6,714,000","3,865","17,064","608,689","21,486","40,659,000","233,293","993,100","4,777,000","3,452,000","2,444","5,417,000","3,645,606",NA,"521,158","887,100",NA,118,"2,187,776",NA,"18,321,000","13,504,000",NA,"3,739,000","3,635,000","4,241,000","45,269,000",NA,"3,382,000","351,420","5,292,000","21,364,000","6,428,000",NA,"5,000,000","106,814","164,593","5,956,000",NA,"79,283,000","22,512","5,954,000","4,593",196,233,"4,519,000",NA,"2,528,000","34,853",18,"2,847,718","9,468,000","2,993,000","1,913","14,495",825,"708,122","1,566,000","35,264","52,037","2,530,000",873,"8,043,000",NA,"13,307,000","38,475","5,704,000","11,477,000","1,003,420","1,557,900",98,"377,015","3,999,000","274,129","2,986","846,349","995,528","20,306,000","14,877","1,847,000",NA,346,"746,416","20,484,000","1,274,000",NA,"995,000","1,294","28,754,000","1,126,460","33,485,000","3,110,000",NA
