SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4007308,4348291,4092820,4010203,4306680,4972886,5737378,4066994,4004086,4994491,4069317,4133271,4338167,4714599,4989802,4101861,5144759,6863895,7192475,4206401,5992950,6950796,4150067,4074390,4072680,4412084,4388431,8581385,25869381,4004350,4001616,5330448,7682850,4068060,4896737,4121470,4040823,4977218,4004341,4619073,4773271,4111501,4968132,5155441,4057056,4914509,10721065,4144672,4981251,113873,4275565,4992262,108009705,4004201,19230515,4010641,4773655,5730751,6623431,4095387,4350960,4990439,4996606,20085583,4283738,105223,4355113,29724772,4547508,4275772,4004136,4999128,4120239,4398514,4100855,4004318,4121199,14345870,4004104,4914124,4970781,4095638,4987965,4069640,4982229,105135,114744693,4352316,4989735,4087349,110714273,4280272,4987518,6675493,4385530,4069910,4021829,4812824,4915902,5931488,10836633,4066321,4910566,9037983,4014547,4355493,4010846,101477040,4041363,4210825,4010841,4095757,4987464,6331267,4864143,4911452,4980858,4995500,9385215,4135999,4976675,4001600,4968196,4070675,10303371,4915603,4884928,4064204,4228223,138815179,4107956,4987606,4011157,4242781,4057229,4011165,4001764
,,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025,FQ12025
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,3/31/2025,9/30/2024,3/31/2025,3/31/2025,9/30/2024,3/31/2025,,3/29/2025,3/31/2025,3/31/2025,5/4/2024,12/31/2024,3/31/2025,9/30/2024,3/31/2025,8/25/2024,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,,3/31/2025,3/31/2025,3/31/2025,,3/29/2025,3/31/2025,9/30/2024,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,9/30/2024,3/31/2025,7/31/2024,3/31/2025,3/31/2025,3/31/2025,5/31/2024,6/30/2024,9/30/2024,3/31/2025,4/5/2025,3/28/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,,6/30/2024,3/30/2025,9/30/2024,3/31/2025,9/30/2024,,3/31/2025,1/31/2025,3/31/2025,6/30/2024,3/31/2025,3/31/2025,5/25/2024,,5/4/2024,3/31/2025,3/31/2025,5/3/2024,3/31/2025,7/31/2024,5/4/2024,3/31/2025,3/31/2025,3/31/2025,3/31/2025,6/30/2024,3/31/2025,3/31/2025,3/31/2025,3/31/2025,6/30/2024,3/31/2025,2/28/2025,3/29/2025,7/31/2024,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,9/30/2024,3/31/2025,3/31/2025,11/30/2024,9/30/2024,3/31/2025,3/31/2025,3/31/2025,,8/31/2024,3/31/2025,3/31/2025,3/31/2025,3/30/2025,3/31/2025,3/31/2025,9/29/2024,3/31/2025,3/31/2025,12/31/2024,3/31/2025,3/31/2025,3/31/2025,12/31/2024,5/3/2024,3/31/2025,9/30/2024,3/31/2025,9/28/2024,3/31/2025,,1/31/2025,3/31/2025,3/31/2025,6/30/2024,3/31/2025,3/31/2025,
Financial Filing Date,309159,5/8/2026,3/13/2026,5/1/2026,5/7/2026,2/18/2026,5/14/2025,,5/7/2026,4/22/2026,5/13/2025,5/29/2025,5/7/2026,8/11/2025,2/17/2026,5/6/2026,10/1/2025,4/28/2026,4/21/2025,5/26/2025,5/7/2026,4/28/2026,,4/22/2026,4/23/2026,4/30/2026,,5/7/2026,5/13/2025,2/25/2026,4/22/2026,5/1/2026,5/8/2026,9/24/2025,4/23/2026,5/15/2026,5/5/2026,4/21/2026,5/7/2026,4/22/2026,7/17/2025,2/18/2026,5/7/2026,9/10/2025,10/1/2025,5/6/2026,5/15/2025,11/4/2024,7/30/2025,2/25/2026,4/30/2026,5/15/2025,4/30/2026,4/29/2026,5/1/2026,8/29/2025,4/24/2026,8/28/2025,,8/14/2024,5/13/2026,3/13/2026,4/27/2026,2/27/2026,,4/29/2026,2/25/2026,5/30/2025,8/5/2025,4/23/2026,4/24/2026,6/27/2025,,6/6/2025,4/28/2026,5/7/2026,5/29/2025,4/23/2026,9/29/2025,6/5/2025,5/13/2025,5/15/2025,5/7/2026,8/14/2025,8/6/2025,8/12/2025,4/21/2026,5/8/2026,5/12/2025,8/29/2025,4/30/2026,4/27/2026,5/7/2026,1/14/2026,9/1/2025,4/30/2026,4/21/2026,4/24/2026,9/3/2025,4/28/2026,2/18/2026,5/20/2025,5/1/2026,4/9/2026,2/17/2026,5/6/2026,5/23/2025,4/29/2026,,9/10/2025,5/30/2025,5/5/2026,5/8/2026,5/7/2026,4/28/2026,4/24/2026,3/2/2026,4/30/2026,5/8/2026,5/28/2025,4/21/2026,5/15/2025,4/21/2026,1/29/2026,6/2/2025,5/27/2025,2/25/2026,5/5/2026,10/29/2025,4/30/2026,,3/5/2026,7/21/2025,4/30/2026,8/8/2025,5/1/2026,5/4/2026,
Spot Exchange Rate,275660,1.000000,0.693337,1.000000,1.000000,0.693337,0.258138,NA,1.000000,1.000000,0.029447,1.000000,1.000000,0.744225,0.693337,0.258138,1.000000,0.099623,0.000039,0.695725,1.000000,0.000060,NA,1.000000,1.000000,1.000000,NA,1.000000,1.080847,0.693337,1.000000,1.000000,0.029447,1.080847,1.000000,1.080847,1.000000,1.000000,1.000000,1.000000,1.080847,0.693337,1.000000,0.723940,1.080847,1.000000,0.258138,0.053133,1.000000,0.693337,1.000000,1.000000,1.000000,1.000000,1.000000,0.623675,1.000000,1.080847,NA,0.011996,1.000000,0.693337,0.000039,1.340303,NA,1.000000,1.000000,0.695725,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,0.723940,1.000000,0.029447,0.217056,1.000000,0.258138,1.000000,0.566733,1.000000,0.029447,0.695725,0.211981,1.000000,0.692938,1.000000,1.284076,0.623675,1.000000,1.000000,1.000000,1.410935,0.000039,0.693337,1.080847,1.000000,0.055445,0.693337,1.000000,0.695725,1.000000,NA,1.000000,1.080847,1.000000,1.000000,1.000000,1.000000,0.000039,0.058575,1.000000,0.029447,0.618850,1.000000,1.000000,1.000000,0.138822,1.000000,0.695725,0.693337,1.000000,1.000000,1.000000,NA,1.000000,0.000039,1.000000,1.000000,1.000000,1.000000,NA
Average Exchange Rate,275661,1.000000,0.669776,1.000000,1.000000,0.669776,0.250567,NA,1.000000,1.000000,0.029462,1.000000,1.000000,0.741872,0.669776,0.250567,1.000000,0.093783,0.000039,0.696907,1.000000,0.000061,NA,1.000000,1.000000,1.000000,NA,1.000000,1.052594,0.669776,1.000000,1.000000,0.029462,1.052594,1.000000,1.052594,1.000000,1.000000,1.000000,1.000000,1.052594,0.669776,1.000000,0.730196,1.052594,1.000000,0.250567,0.053454,1.000000,0.669776,1.000000,1.000000,1.000000,1.000000,1.000000,0.627550,1.000000,1.052594,NA,0.011988,1.000000,0.669776,0.000039,1.300158,NA,1.000000,1.000000,0.696907,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,0.730196,1.000000,0.029462,0.211525,1.000000,0.250567,1.000000,0.567799,1.000000,0.029462,0.696907,0.211369,1.000000,0.698627,1.000000,1.273922,0.627550,1.000000,1.000000,1.000000,1.409129,0.000039,0.669776,1.052594,1.000000,0.056486,0.669776,1.000000,0.696907,1.000000,NA,1.000000,1.052594,1.000000,1.000000,1.000000,1.000000,0.000039,0.055614,1.000000,0.029462,0.652178,1.000000,1.000000,1.000000,0.142994,1.000000,0.696907,0.669776,1.000000,1.000000,1.000000,NA,1.000000,0.000039,1.000000,1.000000,1.000000,1.000000,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"23,000","14,278","8,810,000","67,000","915,205",1,NA,"231,882","23,653,000","353,442","855,000","728,000","18,357","4,862","761,187","128,700","11,023","2,293",133,"31,435","27,462",NA,"174,200","1,916,000","2,615",NA,"229,356","117,984","5,734","1,147,000","452,000","1,108","6,695","1,805,320","149,135","475,000","195,200","80,000","281,764","6,030,048","86,414","453,000","65,893",64,"1,004,000",708,"3,048","46,540","7,450","26,994,000","78,291","892,100","2,454,000","1,359,000","2,418","1,804,000","4,364,678",NA,"3,170,697","620,800","5,190",256,"206,407",NA,"1,167,000","2,880,000",643,"1,269,000","653,000","86,000","2,846,000",NA,"228,000","57,600","2,586,000","3,237,000","8,252,000","1,880","876,000","194,594","30,651","1,238,000",NA,"2,302,000","10,625","7,024,000","1,517","3,715",17,"4,726,000","5,567","1,564,000","35,765",961,"345,749","1,685,000","1,006,000",25,"8,485","53,598","611,218","233,000","22,785","98,422","400,000","3,696","141,000",NA,"10,911,000","243,423","2,612,000","428,000","86,561","292,000",179,"21,365","386,000","518,130","2,190","344,574","118,152","5,157,000","13,406","49,000","11,095",415,"406,295","734,000","349,000",NA,"171,300","1,126","4,634,000","1,811,599","2,284,000","100,000",NA
"Net Property, Plant & Equipment",268541,"37,010,000","31,171","6,681,000","12,780,000","8,690,286",2,NA,"471,471","11,459,000","355,304","2,230,000","6,602,000","422,251","2,103","260,318","2,877,000","2,799","1,757",698,"36,517","53,449",NA,"2,907,300","33,100,000","7,981,993",NA,"1,989,977","128,574",709,"36,344,000","71,169,000","24,237","2,205","1,015,834","56,963","126,093,000","1,889,400","848,000","31,660,705","261,565","7,853","96,068,000","38,716","2,167","79,177,000","4,038","491,225","1,694,011","76,513","43,607,000","157,466","594,800","2,851,000","13,360,000",NA,"6,133,000","10,703,740",NA,NA,"293,600","165,944",88,"233,079",NA,"31,870,000","4,058,000",19,"3,519,000","3,803,000","38,701,000","32,232,000",NA,"10,162,000","73,055","36,901,000","21,360,000","20,116,000",236,"7,653,000","211,266","372,236","39,391,000",NA,"4,092,000","182,881","7,943,000",817,78,708,"1,608,000",NA,"1,560,000","37,480",65,"1,970,067","12,348,000","35,803,000","7,727","21,329",NA,"721,526","1,643,000","1,994","10,521","4,264,000",NA,"46,230,000",NA,"23,094,000","2,353","69,152,000","16,383,000","606,013","1,282,700","3,300","285,674","32,565,000","1,358,824",172,"6,579,722","1,143,806","18,034,000","10,227","241,000",NA,"1,012","9,231,411","6,566,000","31,000",NA,"750,800",NA,"28,549,000","7,911,978","132,098,000","39,155,000",NA
Total Assets,268552,"45,665,000","45,697","89,367,000","18,531,000","14,286,210",159,NA,"21,400,842","156,494,000","1,589,611","5,221,000","54,665,000","878,543","7,895","1,988,307","21,247,800","56,234","5,678","12,980","1,083,683","205,457",NA,"7,347,100","44,486,000","9,046,709",NA,"7,582,366","927,724","17,433","43,199,000","104,555,000","39,336","120,881","12,648,548","1,435,382","187,476,000","11,854,800","2,758,000","39,703,364","11,960,657","365,730","126,425,000","348,233","17,705","109,484,000","11,558","502,038","3,042,867","133,745","284,539,000","686,018","17,137,000","33,586,000","27,394,000","257,710","25,179,000","29,697,687",NA,NA,"6,040,000","231,611","6,266","2,301,166",NA,"59,798,000","38,930,000","3,227","10,163,000","53,699,000","72,318,000","51,579,000",NA,"14,278,000","3,888,659","43,546,000","45,365,000","33,212,000","2,206","16,449,000","568,181","668,955","56,329,000",NA,"71,670,000","446,175","39,951,000","7,579","3,823","3,784","35,760,000","6,393","14,433,000","169,669","1,067","8,861,938","48,468,000","43,800,000","29,076","103,910","60,590","2,642,485","11,279,000","107,612","158,333","14,266,000","5,251","64,263,000",NA,"144,214,000","7,077,648","84,967,000","27,059,000","3,186,777","5,450,400","19,230","1,035,450","37,452,000","2,187,025","10,207","7,382,724","2,376,432","164,864,000","65,464","5,250,000","11,636","2,317","12,075,804","25,880,000","3,775,000",NA,"3,696,700",NA,"59,177,000","16,087,869","380,364,000","54,924,000",NA
Net Debt,268593,"19,600,000","(14,121)","48,571,000","5,424,000","9,035,568",(1),NA,"2,611,606","32,225,000","426,701","4,603,000","18,030,000","357,002","-3,958","-695,024","8,643,500","-6,211","-2,293","8,809","444,583","46,988",NA,"4,790,700","20,271,000","2,791,590",NA,"2,759,978","47,482","-3,498","18,578,000","44,155,000","8,562","55,909","1,167,482","592,175","87,006,000","4,768,900","627,000","8,111,019","-3,217,683","-35,264","60,154,000","-49,737","1,840","47,270,000",-529,"189,697","1,079,486","17,085","130,789,000","243,919","3,137,300","6,730,000","6,794,000","1,289","6,770,000","821,012",NA,"-3,164,685","2,739,500","129,134",125,"183,621",NA,"45,269,000","8,023,000",-570,"2,847,000","18,029,000","33,114,000","16,450,000",NA,"7,372,000","1,573,101","23,517,000","37,071,000","-257,000","-1,880","5,156,000","-112,788","349,341","51,557,000",NA,"5,134,000","21,648","7,110,000","-1,378","-3,620",125,"21,333,000","-5,567","4,961,000","-34,999",-388,"2,285,866","16,092,000","16,743,000","1,740","21,830","-44,798","864,104","5,350,000","-21,542","-88,412","5,604,000","-3,696","31,899,000",NA,"83,281,000","4,284,416","23,375,000","8,555,000","1,545,350","1,888,600",387,"114,789","19,733,000","-92,803","-2,036","1,454,970","490,710","37,789,000","-5,897","2,138,000","-6,962","3,228","4,640,532","12,676,000","670,000",NA,"1,053,600","-1,126","6,220,000","5,814,163","170,249,000","27,311,000",NA
Total Debt,274444,"19,623,000",157,"57,381,000","5,491,000","9,950,773",0,NA,"2,843,488","55,878,000","780,144","5,458,000","18,758,000","375,359",904,"66,163","8,772,200","4,812",0,"8,943","476,018","74,450",NA,"4,964,900","22,187,000","2,794,205",NA,"2,989,334","165,466","2,236","19,725,000","44,607,000","9,670","62,604","2,972,802","741,310","87,481,000","4,964,100","707,000","8,392,783","2,812,365","51,150","60,607,000","16,156","1,905","48,274,000",179,"192,745","1,126,026","24,535","157,783,000","322,210","4,029,400","9,184,000","8,153,000","3,707","8,574,000","5,185,690",NA,"6,012","3,360,300","134,325",381,"390,028",NA,"46,436,000","10,903,000",73,"4,116,000","18,682,000","33,200,000","19,296,000",NA,"7,600,000","1,630,701","26,103,000","40,308,000","7,995,000",0,"6,032,000","81,806","379,992","52,795,000",NA,"7,436,000","32,273","14,134,000",139,95,142,"26,059,000",0,"6,525,000",767,573,"2,631,615","18,126,000","17,749,000","1,766","30,315","8,800","1,475,322","5,583,000","1,243","10,010","6,004,000",0,"32,040,000",NA,"94,192,000","4,527,839","25,987,000","8,983,000","1,631,911","2,180,600",566,"136,155","20,119,000","425,327",154,"1,799,544","608,861","42,946,000","7,509","2,219,000","4,133","3,642","5,046,827","13,410,000","1,019,000",NA,"1,224,900",0,"10,854,000","7,625,762","172,533,000","27,411,000",NA
