SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"27,307,000","14,318","4,855,000","8,718,000","6,873,682",25,NA,"747,538","11,643,000","541,855","5,246,000","6,096,000","309,795",NA,"135,135","2,430,700","4,879",NA,632,"43,479","98,353",NA,"1,068,700","22,739,000","7,112,990",NA,"1,314,671","87,347","2,760","32,870,000","58,421,000","20,485","2,639","881,131","39,150","109,169,000","1,174,800","617,613","15,898,016","127,934","8,275","75,661,000","55,678",NA,"82,588,000","2,638","331,017","1,756,267","56,217","37,392,000","316,769","596,700",NA,"15,364,000",NA,"4,991,000","7,300,587",NA,NA,"482,700","76,289",NA,"312,815",NA,"25,271,000","3,651,000","4,657",NA,"3,091,000","35,605,000","28,621,000",NA,"9,542,000","11,060","31,590,000","22,377,000","17,627,000",100,"9,097,000","219,570","162,005","38,179,200",565,"4,249,000","393,051","10,111,000",NA,62,NA,"1,982,000",NA,"1,476,000","26,496",196,"1,150,168","8,645,000","31,312,000","4,340","23,775",NA,"194,837","1,664,000","4,791","1,715","3,903,000",NA,"19,125,251",NA,"6,401,000",777,"65,022,000","14,945,000","380,597","997,900",NA,"390,483","26,374,339","414,867",417,"5,765,431","1,219,321","16,655,000","12,095","351,000",NA,132,"6,939,820","5,025,904","126,000",NA,"532,614",NA,"30,379,000","3,020,797","117,191,000","29,076,000",NA
Total Assets,268552,"32,789,000","14,484","62,539,000","13,127,000","10,908,946",500,NA,"16,173,560","150,035,000","1,608,499","9,439,000","54,748,000","798,003",628,"1,960,503","22,377,300","52,410",NA,"10,154","1,035,806","377,169",NA,"2,787,100","35,906,000","8,069,237",NA,"5,808,963","501,223","43,152","39,692,000","96,703,000","36,109","81,317","9,270,893","1,328,752","163,465,000","9,669,400","1,678,755","18,039,404","3,775,822","252,297","96,218,000","331,264",NA,"130,000,000","9,487","349,458","3,015,164","86,926","260,819,000","1,349,113","14,278,900",NA,"30,143,000",NA,"20,575,000","25,061,268",NA,NA,"10,189,100","93,792",NA,"2,154,533",NA,"47,277,000","34,737,000","15,737",NA,"50,403,000","71,208,000","46,942,000",NA,"15,869,000","1,825,486","36,395,000","45,832,000","35,493,000",462,"18,581,000","642,008","291,438","51,103,100","1,621","57,666,000","688,002","47,180,000",NA,"8,459",NA,"48,776,000",NA,"10,423,000","89,119","3,609","5,538,303","41,423,000","37,937,000","25,461","79,676","113,720","910,074","14,340,000","101,830","77,943","9,560,000","7,788","23,179,929",NA,"113,546,000","7,931,095","79,355,000","25,331,000","1,834,878","4,513,700",NA,"1,414,658","34,347,073","670,136","11,984","6,174,660","2,188,496","160,608,000","77,301","6,016,000","42,680",388,"8,928,645","22,741,558","3,005,000",NA,"2,875,138",NA,"53,614,000","4,904,374","345,573,000","45,262,000",NA
Net Debt,268593,"12,418,000",428,"22,119,000","8,283,000","6,649,494",(5),NA,"2,037,474","41,742,000","655,424","8,080,000","14,554,000","268,118",-570,"-516,208","9,463,400","-3,723","-2,166","3,741","523,200","224,608",NA,"1,851,000","14,808,000","2,447,825",NA,"1,937,713","52,731","-30,009","13,843,000","38,251,000","15,788","50,827","2,526,862","441,859","65,250,000","3,613,800","246,863","4,765,378","226,526","-36,165","48,252,000","-54,583",NA,"40,139,000",421,"123,401","1,350,561","10,791","122,676,000","226,060","1,465,200","-972,000","5,636,000",NA,"8,164,000","3,355,164",NA,"722,949","3,676,500","-14,154",NA,"-218,415",NA,"31,700,000","3,218,000","-2,493","1,368,000","14,388,000","31,753,000","17,917,000",NA,"5,649,000","371,040","30,244,000","20,101,000","-1,563,000",-355,"7,057,000","-136,728","134,286","46,527,200",17,"6,846,000","-145,767","13,921,000",NA,"-8,268",NA,"23,888,000",NA,"4,346,000","-17,493","1,250","991,424","10,228,000","12,153,000",-160,"6,845","-88,599","-13,797","5,456,000","-3,576","-58,249","2,708,000","-7,639","13,910,607",NA,"28,606,000","6,373,358","36,064,000","9,946,000","918,276","1,137,200","-2,257","219,154","16,586,802","24,836","-4,809","3,138,171","253,951","24,511,000","-24,026","2,998,000","4,016",647,"2,981,559","8,413,460","-15,000",NA,"346,791",-950,"12,410,000","1,938,562","170,499,000","22,108,000",NA
Total Debt,274444,"12,424,000",531,"32,685,000","8,821,000","7,227,847",0,NA,"2,265,175","63,575,000","704,099","9,037,000","17,819,000","309,686",0,"74,915","9,901,600","9,749",0,"7,306","576,924","283,385",NA,"1,998,700","15,845,000","2,477,573",NA,"2,404,149","182,854","3,298","16,800,000","38,728,000","17,244","50,827","3,063,374","637,346","65,789,000","4,379,700","334,823","4,806,048","680,751","33,512","48,607,000","21,601",NA,"42,047,000",547,"126,661","1,550,002","22,018","153,966,000","472,754","2,764,800","35,000","8,504,000",NA,"10,610,000","5,167,488",NA,"764,836","5,034,800",168,NA,"290,056",NA,"32,838,000","7,381,000","1,327","1,392,000","14,723,000","33,256,000","20,643,000",NA,"7,688,000","419,197","31,922,000","26,257,000","12,785,000",0,"8,580,000","112,077","161,131","49,552,600",104,"9,459,000","12,090","19,063,000",NA,58,NA,"29,680,000",NA,"5,666,000",916,"2,110","1,503,831","14,160,000","13,151,000","2,639","13,393","18,905","478,592","6,138,000","8,520",882,"3,313,000",0,"14,313,261",NA,"70,909,000","6,419,566","38,334,000","9,976,000","924,447","1,569,600",0,"284,807","21,678,414","126,350",260,"3,138,620","336,232","33,090,000","10,000","3,295,000","4,415",753,"3,073,904","14,403,005","556,000",NA,"780,185",0,"14,664,000","2,170,980","180,704,000","23,234,000",NA
Total Common Equity,268583,"9,148,000","12,409","9,334,000","(1,258,000)","2,353,044",85,NA,"5,155,759.00","-18,058,000.00","630,715.73","-1,861,000.00","24,661,000.00","265,944.17",166.35,"307,737.85","8,121,400.00","26,155.72","6,353.68","-1,438.55","346,002.00","40,234.62",NA,"202,200.00","6,353,000.00","4,510,410.00",NA,"2,183,927.00","205,707.75","30,112.10","13,151,000.00","24,312,000.00","15,250.44","24,465.08","3,499,144.00","197,778.17","46,224,000.00","3,318,000.00","1,095,022.54","9,219,640.00","2,700,704.22","194,989.96","21,436,000.00","216,800.32",NA,"32,015,000.00","4,742.52","200,180.21","1,067,958.00","55,659.50","33,828,000.00","407,781.00","9,009,000.00","14,727,000.00","11,069,000.00",NA,"5,170,000.00","10,027,582.16",NA,"1,752,592.99","2,919,500.00","92,046.43",NA,"1,046,295.10",NA,"247,000.00","-3,235,000.00","11,499.90","4,873,000.00","24,070,000.00","32,187,000.00","9,356,000.00",NA,"4,790,000.00","1,218,638.00","193,000.00","1,716,000.00","9,093,000.00",451.46,"2,697,000.00","435,697.78","64,923.39","-7,235,500.00","1,253.42","5,446,000.00","537,614.45","13,760,000.00",NA,"8,349.09",NA,"2,913,000.00",NA,"-496,000.00","37,387.50",-42.13,"2,084,909.00","10,525,000.00","14,643,000.00","8,123.04","49,319.01","91,062.37","167,573.94","3,836,000.00","87,679.82","61,427.96","3,928,000.00","7,508.75","6,096,965.00",NA,"9,491,000.00","1,091,401.41","8,538,000.00","7,651,000.00","595,275.00","1,059,400.00","12,248.44","604,572.84","9,172,382.00","399,985.40","9,128.11","1,663,848.00","387,978.77","71,710,000.00","53,123.32","1,395,000.00","36,202.37","-1,370.87","2,773,722.00","1,300,011.00","653,000.00",NA,"1,179,722.00","5,253.12","17,801,000.00","2,072,966.00","71,232,000.00","11,667,000.00",NA
Total Equity,268585,"9,277,000","12,409","9,334,000","344,000","2,353,044",85,NA,"5,214,446.00","-17,841,000.00","630,835.38","-1,858,000.00","24,663,000.00","369,688.75",166.35,"318,324.52","8,199,000.00","26,155.72","6,353.68","-1,485.48","346,002.00","57,974.40",NA,"202,200.00","8,716,000.00","4,510,410.00",NA,"2,216,219.00","206,072.77","30,112.10","13,160,000.00","27,038,000.00","15,250.74","24,465.08","3,499,144.00","247,549.30","49,658,000.00","3,357,000.00","1,095,022.54","9,230,366.00","2,700,704.22","193,641.58","35,023,000.00","218,708.00",NA,"34,313,000.00","4,941.60","208,924.89","1,067,958.00","55,659.50","33,974,000.00","408,824.00","9,016,700.00","14,974,000.00","13,558,000.00",NA,"5,179,000.00","13,299,765.26",NA,"1,753,163.56","2,983,900.00","92,046.43",NA,"1,046,295.10",NA,"2,482,000.00","-3,235,000.00","11,499.90","4,931,000.00","24,071,000.00","33,308,000.00","9,328,000.00",NA,"4,790,000.00","1,218,638.00","2,620,000.00","1,716,000.00","9,093,000.00",451.46,"2,697,000.00","446,011.68","72,394.62","-7,235,500.00","1,253.42","7,067,000.00","610,654.92","13,828,000.00",NA,"8,349.09",NA,"3,035,000.00",NA,"-478,000.00","37,387.50",-42.13,"2,088,975.00","10,525,000.00","14,643,000.00","8,123.04","52,731.62","91,062.37","183,928.40","3,861,000.00","88,232.10","61,427.96","3,967,000.00","7,508.75","6,096,965.00",NA,"10,140,000.00","1,330,464.79","18,300,000.00","10,165,000.00","595,275.00","1,061,000.00","12,248.44","598,683.30","9,172,382.00","400,165.00","9,128.11","1,663,848.00","403,936.29","73,342,000.00","53,123.32","1,408,000.00","36,202.37","-1,370.87","2,979,008.00","1,333,988.00","653,000.00",NA,"1,179,722.00","5,253.12","18,727,000.00","2,099,183.00","72,683,000.00","14,473,000.00",NA
Current Ratio (x),274464,0.79,0.08,1.66,1.75,2.07,1.20,NA,1.47,1.33,0.28,1.06,1.36,3.50,1.36,1.14,0.95,1.68,NA,1.42,1.61,1.37,NA,1.14,0.74,0.61,NA,1.77,2.00,3.44,2.39,0.56,1.52,19.48,1.59,2.91,0.49,0.71,2.19,0.75,3.09,12.34,1.01,2.73,NA,0.96,1.47,1.93,3.86,1.73,1.21,1.87,1.13,NA,2.31,NA,2.25,1.63,NA,NA,1.85,10.34,NA,1.73,NA,1.39,0.73,9.36,NA,0.37,0.81,0.83,NA,1.88,14.55,1.13,1.20,1.97,33.68,1.24,3.20,1.00,1.19,2.92,1.00,7.82,1.84,NA,106.75,NA,0.80,NA,1.27,1.47,0.65,1.56,1.46,1.02,1.34,1.65,NM,1.94,1.30,9.28,4.62,1.87,169.28,0.98,NA,2.66,0.67,1.17,0.95,1.97,1.15,NA,1.43,1.70,1.20,2.89,0.44,0.63,1.17,4.26,1.05,6.28,0.15,0.97,1.74,1.32,NA,1.78,NA,1.43,1.63,1.02,0.71,NA
Quick Ratio (x),274465,0.32,0.08,1.17,1.20,1.84,0.52,NA,1.04,0.37,0.21,0.44,0.80,0.59,1.36,0.67,0.40,1.53,NA,1.40,1.49,1.21,NA,0.86,0.52,0.41,NA,1.34,1.49,3.11,2.17,0.22,0.69,11.82,1.00,2.91,0.19,0.63,1.40,0.41,1.14,12.01,0.74,1.38,NA,0.56,0.73,0.62,2.59,1.07,1.03,0.83,0.86,NA,1.36,NA,1.35,0.46,NA,NA,1.38,10.34,NA,1.73,NA,0.99,0.45,9.14,NA,0.21,0.63,0.29,NA,0.67,0.91,0.75,0.34,1.87,33.36,0.29,3.01,0.80,1.04,0.85,0.53,6.97,1.19,NA,106.44,NA,0.59,NA,1.03,0.76,0.56,1.44,1.28,0.86,1.20,0.66,NM,1.78,0.66,4.77,4.41,1.21,168.51,0.64,NA,2.50,0.11,0.62,0.73,0.73,0.36,NA,0.95,1.60,1.14,2.86,0.41,0.42,0.79,3.93,0.93,1.36,0.11,0.61,1.27,0.56,NA,0.90,NA,0.88,0.89,0.86,0.62,NA
Total Debt/Equity (%),274466,133.92,4.28,350.17,"2,564.24",307.17,NA,NA,43.44,NM,111.61,NM,72.25,83.77,NA,23.53,120.77,37.27,NA,NM,166.74,488.81,NA,988.48,181.79,54.93,NA,108.48,88.73,10.95,127.66,143.24,113.07,207.75,87.55,257.46,132.48,130.47,30.58,52.07,25.21,17.31,138.79,9.88,NA,122.54,11.08,60.63,145.14,39.56,453.19,115.64,30.66,0.23,62.72,NA,204.87,38.85,NA,43.63,168.73,0.18,NA,27.72,NA,"1,323.05",NM,11.54,28.23,61.17,99.84,221.30,NA,160.50,34.40,"1,218.40","1,530.13",140.60,NA,318.13,25.13,222.57,NM,8.29,133.85,1.98,137.86,NA,0.70,NA,977.92,NA,NM,2.45,NM,71.99,134.54,89.81,32.49,25.40,20.76,260.21,158.97,9.66,1.44,83.51,NA,234.76,NA,699.30,482.51,209.48,98.14,155.30,147.94,NA,47.57,236.34,31.58,2.85,188.64,83.24,45.12,18.82,234.02,12.20,NM,103.19,"1,079.70",85.15,NA,66.13,NA,78.30,103.42,248.62,160.53,NA
Total Debt / Total Capital (%),274467,57.25,4.10,77.79,96.25,75.44,NA,NA,30,139,53,126,42,46,NA,19,55,27,NA,126,63,83,NA,91,65,35,NA,52,47,10,56,59,53,68,47,72,57,57,23,34,20,15,58,9,NA,55,10,38,59,28,82,54,23,0,39,NA,67,28,NA,30,63,0,NA,22,NA,93,178,10,22,38,50,69,NA,62,26,92,94,58,NA,76,20,69,117,8,57,2,58,NA,1,NA,91,NA,109,2,102,42,57,47,25,20,17,72,61,9,1,46,NA,70,NA,87,83,68,50,61,60,NA,32,70,24,3,65,45,31,16,70,11,NM,51,92,46,NA,40,NA,44,51,71,62,NA
Total Debt / EBITDA (x),274468,4.82,NM,2.70,1.91,6.15,NA,NA,2,14,NM,18,2,189,NA,1,4,1,NA,NM,3,NM,NA,7,5,2,NA,3,2,0,3,5,12,NA,2,3,6,3,4,3,1,1,2,1,NA,4,1,5,3,NM,8,4,2,0,2,NA,4,3,NA,3,6,NM,NA,2,NA,3,1,NM,3,4,3,2,NA,NM,1,6,3,NM,NA,NM,1,2,4,4,2,0,2,NA,NM,NA,3,NA,3,NM,NA,1,2,2,1,1,NA,9,4,1,0,2,NA,4,NA,5,134,4,3,2,2,NA,2,NM,0,NA,4,3,3,NM,5,NM,NM,3,6,1,NA,1,NA,NM,6,3,5,NA
