SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"1,496,000",11,"5,901,000","1,934,000","463,056",140,NA,"8,385,919","15,217,000","36,628","1,654,000","5,315,000","14,917",27,"330,068","2,678,900","19,254",398,"1,634","153,295","75,348",NA,"324,300","2,547,000","438,709",NA,"824,566","117,626","14,194","2,813,000","3,870,000","4,716","9,464","1,867,901","148,067","6,150,000","1,213,000","160,485","1,118,525","427,138","17,258","16,995,000","41,225",NA,"4,632,000","3,403","10,288","426,989","7,203","36,228,000","363,042","1,259,200","4,346,000","3,290,000",NA,"3,451,000","2,202,983",NA,"228,937","1,114,800",NA,NA,"1,779,902",NA,"13,977,000","15,646,000",NA,"4,771,000","2,902,000","5,211,000","41,549,000",NA,"2,428,000","705,953","3,065,000","19,675,000","2,052,000",NA,"3,148,000","104,170","83,677","5,124,600",82,"55,679,000","35,342","8,851,000",NA,-511,29,"4,880,000",NA,"1,773,000","16,475",157,"1,775,424","9,157,000","2,639,000","2,452","10,578","8,952","146,345","2,288,000","42,961","25,878","1,915,000",-280,"3,194,679",NA,"9,367,000","20,858","5,293,000","8,383,000","850,483","1,774,000",877,"464,582","42,014","235,643","1,885","683,911","712,648","15,251,000","11,127","1,757,000","1,405",116,"885,907","11,777,379","1,060,000",NA,"872,986","2,727","20,806,000","530,488","32,867,000","2,648,000",NA
Gross Profit,271473,"725,000",11,"4,411,000","1,118,000","427,971",76,NA,"930,110","1,977,000","-13,488","385,000","2,766,000",756,27,"25,645","810,200","3,605",68,655,"108,704","4,544",NA,"77,000","915,000","313,904",NA,"308,278","54,368","11,107","1,458,000","1,889,000","1,360","7,538","725,455","132,637","3,029,000","729,700","35,916","645,722","334,360","6,595","5,227,000","23,580",NA,"1,907,000",632,"6,184","102,297","2,359","5,312,000","182,589","711,900","1,773,000","1,156,000",NA,"418,000","1,352,202",NA,"250,266","618,500",NA,NA,"273,135",NA,"5,452,000","3,324,000",NA,"453,000","1,612,000","2,688,000","10,095,000",NA,"828,000","190,761","1,356,000","6,513,000","-544,000",NA,"947,000","67,337","46,766","2,668,300",48,"2,700,000","18,477","4,462,000",NA,-518,-20,"3,240,000",NA,"862,000","4,072",30,"261,565","1,740,000","1,332,000","1,859","3,494","8,952","31,315","736,000","3,926","17,508","444,000",-280,"1,073,169",NA,"7,487,000","16,567","3,036,000","772,000","161,532","448,000",227,"36,974","-236,343","108,013","1,257","314,971","44,017","2,714,000","6,184","183,000",890,51,"287,582","2,219,845","245,000",NA,"315,036",511,"158,000","144,919","19,345,000","1,335,000",NA
Earnings from Cont. Ops.,271505,"235,000",(608),"1,646,000","450,000","(5,537)",(25),NA,"207,228.00","-561,000.00","-24,970.97","-297,000.00","1,003,000.00","-4,643.71",-87.49,"12,301.31","329,800.00",913.13,-1.60,-289.56,"5,278.00","-5,838.55",NA,"36,100.00","280,000.00","98,025.00",NA,"63,935.00","16,090.27","4,662.31","706,000.00","980,000.00",-61.08,"2,356.01","232,769.00","8,723.49","941,000.00","202,900.00","2,371.67","-37,941.00","217,484.87","3,358.24","3,641,000.00",420.76,NA,"525,000.00",133.95,"2,471.53","97,091.00",-230.99,"3,262,000.00","-24,339.00","111,700.00","591,500.00","599,000.00",-50.48,"171,000.00","185,133.24",NA,"19,595.06","117,500.00",-926.22,NA,"8,139.79",NA,"1,580,000.00","1,068,000.00",399.87,"-494,000.00","325,000.00","1,425,000.00","1,212,000.00",NA,"-541,000.00","99,658.00","571,000.00","1,337,000.00","116,000.00",-20.11,"-3,581,000.00","2,857.43","8,916.44","1,537,200.00",-7.80,"495,000.00","13,913.44","1,627,000.00",NA,-613.99,-20.14,"1,421,000.00",NA,"245,000.00",-676.73,-206.47,"66,112.00","2,195,000.00","673,000.00",492.05,"1,464.00","5,949.15","3,802.67","89,000.00","2,621.44","9,874.13","210,000.00",-384.25,"386,176.00",NA,"2,251,000.00","40,652.20","299,000.00","423,000.00","47,513.00","133,100.00",71.50,"14,953.00","-1,131,722.00","97,087.39",-61.29,"27,151.00","-14,733.14","813,000.00","-3,436.86","37,000.00","31,377.65",951.03,"118,845.00","216,900.00","101,000.00",NA,"111,281.00",240.55,"-622,000.00","-8,527.00","5,378,000.00","435,000.00",NA
Net Income,271510,"233,000",(608),"1,646,000","388,000","(5,537)",(25),NA,"206,321.00","-537,000.00","-24,612.04","-297,000.00","1,003,000.00","-3,795.21",-87.49,"17,902.28","329,000.00",913.13,-1.60,-279.87,"5,278.00","-5,703.34",NA,"36,100.00","363,000.00","98,025.00",NA,"61,530.00","16,081.83","4,662.31","706,000.00","1,008,000.00",-61.09,"2,356.01","232,769.00","6,555.87","992,000.00","201,600.00","2,371.67","-37,427.00","217,484.87","3,515.21","3,285,000.00",354.91,NA,"-289,000.00",108.02,"2,567.47","96,206.00",-76.16,"3,262,000.00","-24,440.00","110,200.00","584,500.00","599,000.00",-50.48,"170,000.00","359,904.33",NA,"19,597.70","116,200.00",-926.22,NA,"8,139.79",NA,"1,423,000.00","1,068,000.00",399.87,"-494,000.00","325,000.00","1,409,000.00","1,212,000.00",NA,"-541,000.00","99,658.00","393,000.00","1,337,000.00","116,000.00",-20.11,"-3,581,000.00","2,930.61","7,898.87","1,537,200.00",-7.80,"444,000.00","11,262.40","1,624,000.00",NA,-613.99,-20.14,"1,424,000.00",NA,"244,000.00",-676.73,-206.47,"65,649.00","2,195,000.00","673,000.00",492.05,"1,434.84","5,949.15","3,119.49","89,000.00","2,576.49","9,874.13","210,000.00",-384.25,"386,176.00",NA,"2,251,000.00","40,652.20","-146,000.00","422,000.00","47,513.00","134,100.00",71.50,"16,200.28","-1,131,722.00","97,103.13",-61.29,"27,151.00","-12,766.59","753,000.00","-3,436.86","36,000.00","31,377.65",951.03,"117,293.00","216,900.00","101,000.00",NA,"111,281.00",240.55,"-704,000.00","-12,389.00","5,245,000.00","426,000.00",NA
EBITDA,271528,"645,000",(528),"3,031,000","1,135,000","293,019",(21),NA,"350,543.0","1,164,000.0","-4,757.3","-82,000.0","1,886,000.0",413.2,-86.1,"26,259.9","616,900.0","2,353.9",NA,-118.2,"42,227.0",93.2,NA,"72,800.0","761,000.0","301,263.0",NA,"193,911.0","26,500.6","6,841.8","1,458,000.0","1,945,000.0",356.1,NA,"394,107.0","60,341.5","2,835,000.0","423,300.0","19,299.6","407,853.0","295,803.5","6,555.6","5,026,000.0","5,109.9",NA,"2,797,000.0",256.6,"5,760.4","116,324.0","-1,009.4","4,823,000.0","4,198.0","294,600.0","866,000.0","892,000.0",NA,"596,000.0","476,900.3",NA,"56,502.1","205,200.0",-936.0,NA,"22,739.7",NA,"3,031,000.0","1,691,000.0",-211.5,"22,000.0","881,000.0","2,423,000.0","2,260,000.0",NA,"-238,000.0","123,543.0","1,279,000.0","2,364,000.0","-956,000.0",NA,"-414,000.0","20,613.0","19,681.2","2,555,800.0",6.6,"813,000.0","12,664.5","2,682,000.0",NA,-604.3,NA,"2,836,000.0",NA,"462,000.0",-154.5,NA,"190,974.0","1,503,000.0","1,332,000.0",609.3,"2,455.2",NA,"13,305.7","291,000.0","3,694.8","14,287.5","416,000.0",-363.3,"821,572.0",NA,"3,931,000.0","12,306.0","2,374,000.0","705,000.0","91,002.0","242,800.0",NA,"36,943.5","-499,514.0","104,312.8",107.7,"189,809.0","23,107.2","2,598,000.0","-3,553.2","140,000.0",-80.3,-209.8,"263,390.0","615,527.0","157,000.0",NA,"148,457.0",NA,"-74,000.0","74,188.0","12,523,000.0","1,177,000.0",NA
EBIT,271530,"350,000",(528),"2,190,000","747,000","174,710",(24),NA,"300,212.0","628,000.0","-24,983.3","-221,000.0","1,331,000.0","-1,741.3",-87.5,"16,666.6","521,700.0","1,436.8",-33.9,-314.7,"16,547.0","-1,880.6",NA,"46,800.0","454,000.0","172,319.0",NA,"132,403.0","20,787.0","6,583.6","1,113,000.0","1,260,000.0",54.4,NA,"320,301.0","38,332.8","1,450,000.0","306,600.0","5,545.0","24,395.0","275,320.2","5,578.4","4,072,000.0","2,959.3",NA,"853,000.0",151.3,"5,754.8","84,508.0","-2,439.3","3,081,000.0","-4,735.0","197,600.0","708,000.0","530,000.0",NA,"370,000.0","321,287.2",NA,"25,770.8","147,300.0",-959.3,NA,"15,698.2",NA,"2,334,000.0","1,488,000.0",-242.2,"-324,000.0","706,000.0","1,882,000.0","1,435,000.0",NA,"-465,000.0","123,255.0","1,043,000.0","1,991,000.0","-1,268,000.0",-20.1,"-651,000.0","3,788.3","13,240.0","2,101,900.0",-6.7,"596,000.0","11,335.3","2,222,000.0",NA,-605.9,-20.1,"2,773,000.0",NA,"352,000.0",-663.0,-187.1,"100,463.0","1,209,000.0","1,040,000.0",525.8,"1,805.0","8,495.7","5,693.2","205,000.0","3,654.4","14,071.2","298,000.0",-376.4,"664,452.0",NA,"3,388,000.0","12,305.7","45,000.0","528,000.0","68,481.0","183,200.0",88.4,"23,520.4","-809,680.0","96,737.6",-59.1,"98,397.0","-6,657.2","1,475,000.0","-4,055.0","107,000.0",-414.3,-218.6,"169,948.0","435,007.0","138,000.0",NA,"124,390.0",298.5,"-652,000.0","-5,314.0","8,349,000.0","739,000.0",NA
EBITDA / Interest Expense (x),274484,6.45,NM,10.64,10.31,3.34,NM,NA,8.77,1.71,NM,1.30,15.98,0.13,NA,45.32,5.54,28.60,NA,NM,4.41,0.04,NA,3.92,5.21,8.31,NA,6.89,43.47,NM,8.40,36.70,2.80,NA,14.69,16.54,5.45,11.38,5.37,5.79,81.83,23.21,8.58,23.54,NA,8.80,28.54,1.27,9.13,NM,10.40,4.52,11.18,72.17,12.16,NA,5.01,8.95,NA,4.10,4.74,NM,NA,16.80,NA,8.49,28.21,NM,8.64,6.56,6.43,14.56,NA,NM,NA,4.02,12.33,NM,NA,NM,32.22,13.49,10.42,13.26,15.97,62.55,21.17,NA,NM,NA,9.06,NA,9.00,NM,NA,26.36,10.41,8.54,NA,15.93,NA,21.28,5.11,21.82,NM,13.27,NA,4.45,NA,6.40,0.25,NM,6.92,9.00,21.85,NA,7.29,NM,67.43,43.45,3.60,3.01,7.96,NM,5.39,NM,NM,10.99,4.44,32.25,NA,20.48,NA,NM,9.85,12.55,4.00,NA
EBIT / Interest Expense (x),274483,3.50,NM,7.68,6.67,1.99,NM,NA,7.51,0.93,NM,NM,11.28,NM,NA,28.77,4.56,17.46,NA,NM,1.66,NM,NA,2.41,3.11,4.74,NA,4.46,34.10,NM,6.05,23.77,0.43,NA,11.94,10.51,2.71,8.24,1.35,0.35,76.17,19.75,6.91,11.52,NA,2.68,16.83,1.27,6.49,NM,6.47,NM,7.13,59.00,6.88,NA,2.74,5.58,NA,1.87,3.08,NM,NA,6.94,NA,6.08,23.62,NM,NM,5.04,4.99,8.25,NA,NM,NA,2.94,9.48,NM,NA,NM,5.92,9.07,7.01,NM,9.93,55.06,16.83,NA,NM,NA,8.86,NA,6.29,NM,NA,8.06,7.80,6.67,NA,11.71,35.57,9.10,3.06,20.31,NM,9.03,NA,3.58,NA,5.52,0.25,NM,4.94,6.13,15.79,NA,4.64,NM,59.89,NM,1.73,NM,4.31,NM,3.45,NM,NM,7.09,2.97,27.60,NA,16.54,179.80,NM,NM,7.58,2.51,NA
Avg. Days Sales Out.,274485,40.8,NA,72.0,47.6,37.5,103.4,NA,98.19,62.37,42.19,14.72,41.27,187.92,NA,99.22,28.34,54.59,NA,225.53,55.69,182.93,NA,10.21,40.71,31.86,NA,67.78,59.18,21.85,29.90,48.09,60.18,NA,57.64,144.40,43.44,49.69,104.00,50.25,NA,82.14,24.98,126.15,NA,69.01,63.46,16.85,36.20,20.48,18.72,50.80,59.90,NA,55.16,NA,82.42,53.99,NA,NA,112.01,NA,NA,42.40,NA,46.63,31.32,NA,NA,32.77,23.29,4.39,NA,NA,11.17,NM,NA,5.95,NA,8.73,1.80,31.55,34.33,136.49,28.36,21.09,48.41,NA,NA,NA,2.57,NA,109.63,39.71,57.35,90.97,68.16,23.04,569.55,79.22,NA,53.20,63.09,61.32,31.18,49.02,NA,24.51,NA,49.73,58.80,43.88,30.73,17.62,12.66,NA,70.84,494.16,32.93,NA,35.47,20.22,116.43,169.06,56.17,NA,10.69,57.62,22.38,25.85,NA,27.32,NA,29.04,51.56,65.56,32.48,NA
Avg. Days Inventory Out.,274486,57.7,NA,238.9,54.8,69.0,335.7,NA,40.93,559.08,27.63,99.61,100.30,NM,NA,93.78,71.69,NA,NA,NA,NA,14.96,NA,NA,24.18,6.10,NA,33.43,91.43,70.81,19.93,68.74,142.28,NA,68.40,NA,90.01,NA,119.05,NA,NA,NA,13.57,NM,NA,55.39,91.10,NA,72.20,40.09,36.17,155.77,77.50,NA,101.20,NA,69.70,93.56,NA,NA,75.62,NA,NA,NA,NA,21.61,47.15,NA,NA,59.93,13.15,23.82,NA,201.74,277.69,15.96,94.93,14.94,NA,209.02,31.30,29.73,1.77,NM,28.63,139.44,89.17,NA,NA,NA,107.40,NA,52.98,155.33,136.96,5.42,9.82,15.91,131.15,216.24,NA,40.39,102.61,102.71,NA,52.28,NA,18.75,NA,NA,7.61,81.17,6.69,41.55,85.44,NA,39.80,38.49,5.66,NA,NA,31.80,67.87,53.25,7.40,NA,NA,7.30,29.66,NA,NA,107.09,NA,25.98,71.64,10.31,9.60,NA
Accounts Receivable Turnover (x),274489,8.81,NA,5.00,7.56,9.82,3.48,NA,4,6,9,25,9,2,NA,4,13,7,NA,2,6,2,NA,35,9,11,NA,5,6,17,12,7,6,NA,6,2,8,7,3,7,NA,4,14,3,NA,5,6,22,10,18,19,7,6,NA,7,NA,4,7,NA,NA,3,NA,NA,9,NA,8,12,NA,NA,11,15,102,NA,NA,32,0,NA,61,NA,42,200,11,10,3,13,17,7,NA,NA,NA,140,NA,3,9,6,4,5,16,1,5,NA,7,6,6,12,7,NA,15,NA,7,6,8,12,20,28,NA,5,1,11,NA,10,18,3,2,6,NA,34,6,16,14,NA,13,NA,12,7,5,11,NA
Inventory Turnover (x),274490,6.24,NA,1.51,6.57,5.33,1.07,NA,9,1,13,4,4,0,NA,4,5,NA,NA,NA,NA,24,NA,NA,15,59,NA,11,4,5,18,5,3,NA,5,NA,4,NA,3,NA,NA,NA,27,1,NA,7,4,NA,5,9,10,2,5,NA,4,NA,5,4,NA,NA,5,NA,NA,NA,NA,17,8,NA,NA,6,27,19,NA,2,1,23,4,24,NA,2,12,12,204,0,13,3,4,NA,NA,NA,3,NA,7,2,3,66,37,23,3,2,NA,9,4,4,NA,7,NA,19,NA,NA,47,4,54,8,4,NA,9,9,64,NA,NA,11,5,7,49,NA,NA,49,12,NA,NA,3,NA,14,5,35,38,NA
Fixed Asset Turnover (x),274488,0.22,0.00,4.65,0.88,0.27,21.52,NA,36,5,0,1,3,0,NA,9,4,16,NA,10,12,3,NA,1,0,0,NA,3,5,33,0,0,1,NA,8,14,0,4,1,0,13,8,1,3,NA,0,5,0,1,1,4,4,8,NA,1,NA,3,1,NA,NA,9,NA,NA,22,NA,2,17,NA,NA,4,1,6,NA,1,288,0,3,0,NA,1,2,2,1,1,52,0,3,NA,NM,NA,10,NA,5,3,6,6,4,0,2,2,NA,3,5,36,33,2,NA,1,NA,6,105,0,2,9,7,NA,5,0,2,NA,0,2,4,4,22,NA,3,1,9,33,NA,6,NA,3,1,1,0,NA
Total Asset Turnover (x),274487,0.19,0.00,0.38,0.60,0.17,1.22,NA,2,0,0,1,0,0,0,1,0,2,NA,1,1,1,NA,0,0,0,NA,1,1,2,0,0,1,1,1,0,0,1,0,0,1,0,1,1,NA,0,1,0,1,0,1,1,0,NA,0,NA,1,0,NA,NA,0,NA,NA,3,NA,1,2,NA,NA,0,0,4,NA,1,2,0,2,0,NA,1,1,1,0,0,4,0,1,NA,NM,NA,0,NA,1,1,0,1,1,0,0,1,0,1,1,2,1,1,NM,1,NA,0,0,0,1,2,2,NA,1,0,1,NA,0,1,0,1,1,0,1,0,2,1,NA,1,NA,2,0,0,0,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"(35,000)",(109),"2,104,000","671,000","183,549",(14),NA,"-4,536","-3,387,000","-15,007","-342,000","1,533,000","-26,370",43,"119,048","284,500","1,467",-48,314,"50,362","11,377",NA,"-19,800","-1,681,000","219,648",NA,"170,229","5,978","7,437","1,232,000","1,452,000",569,"-2,308","177,184","47,402","2,088,000","143,400","46,262","399,915","166,277","1,698","5,155,000","26,584",NA,"-1,261,000",352,"1,759","95,313","1,412","4,492,000","-37,849","144,800","520,000","723,000",NA,"203,000","537,688",NA,NA,"377,600",-810,NA,"-30,686",NA,"1,988,000","1,022,000",-80,"-328,000","546,000","1,873,000","4,245,000",NA,"53,000","160,686","1,066,000","4,450,000","645,000",-22,"-164,000","14,229","14,343","2,124,000",1,"-1,062,000","19,785","1,688,000",NA,-192,-6,"3,040,000",NA,"370,000",-958,-90,"257,164","-66,000","1,015,000",-187,"-8,363","1,917","13,847","-25,000",-34,"6,409","204,000",-219,"533,317",NA,"5,953,000",NA,"910,000","791,000","50,292","56,000",-504,"7,496","-809,183","94,954",188,"109,252","-23,555","718,000","4,927","367,000",-932,-102,"-52,457","930,914","-175,000",NA,"95,025",74,"-52,000","156,907","9,694,000","915,000",NA
Cash from Investing,272601,"(889,000)",(74),"(319,000)","(267,000)","(88,391)",NA,NA,"1,991","2,764,000","2,563","-60,000","-430,000","4,635",NA,"-1,953","-142,900","-6,611",0,-14,"-6,219",-549,NA,"-12,300","-604,000","-118,424",NA,"-137,996","-2,299",-584,"-297,000","-2,308,000",-60,-431,"-29,572","-3,311","-3,137,000","-973,500","-9,927","-247,910","-529,555",37,"-635,000","-1,284",NA,"95,000",-455,-559,"67,491","1,218","-491,000","15,056","-8,600","-72,500","-288,000",NA,"-62,000","-356,832",NA,NA,"-25,500","-2,498",NA,"-5,491",NA,"-649,000","-3,000",-102,"-100,000","-99,000","130,000","-689,000",NA,"-162,000",404,"-200,000","-288,000","-201,000",NA,"-113,000","-17,009","-4,767","-244,600",NA,"-130,000","20,321","-369,000",NA,NA,NA,"-29,000",NA,"-52,000","-4,177",NA,"-134,612","3,196,000","-202,000",-17,-322,NA,"-2,680","-54,000",-69,"-1,673","-121,000",NA,"-170,691",NA,"-9,655,000",NA,"-282,000","-108,000","-45,045","-30,200",398,"-11,501","-967,560","-22,901",-500,"-112,400","-1,110","582,000","-1,463","-1,202,000","1,235",-100,"-144,860","-82,866","-3,000",NA,"-2,086",4,"-580,000","-229,262","-49,653,000","-257,000",NA
Cash from Financing,272618,"795,000",122,"(1,939,000)","(128,000)","(225,906)",7,NA,"-123,166","-48,000","-9,356","-138,000","-592,000","10,700",93,"-21,760","-259,600","5,372",NA,"1,087","-58,138","-2,006",NA,"106,800","2,285,000","-87,461",NA,"194,720",-599,"5,907","-1,109,000","1,171,000",-459,NA,"-124,239","-3,041","1,185,000","-88,600","-23,727","-129,545","66,872",857,"-4,532,000","-6,078",NA,"2,334,000",182,"-1,241","-82,011","-1,488","-7,793,000","-34,178","-654,900","-539,500","-190,000",NA,"-223,000","-280,080",NA,NA,"-370,800","7,074",NA,"-21,900",NA,"-2,104,000","-1,723,000","1,150","443,000","-355,000","-1,789,000","-1,229,000",NA,"1,425,000","-148,875","-545,000","1,092,000","464,000",146,"1,148,000","-9,470","-2,025","-2,263,900",21,"61,000","-14,176","-1,251,000",NA,-25,NA,"-2,172,000",NA,"-256,000",-300,126,"-33,191","-4,520,000","-930,000",346,"3,713","-1,948","274,855","-239,000",-310,"-6,775","-194,000","-1,662","-484,709",NA,"-6,493,000",NA,"-354,000","-687,000","-43,843","-224,300",NA,"4,418","3,183,924","-54,507","1,992","3,139","6,290","-1,539,000","-1,353","927,000",-68,203,"206,207","-950,827","56,000",NA,"-142,989",-308,"-439,000",140,"27,956,000","326,000",NA
Foreign Exchange Rate Adj.,272619,NA,-3.91,NA,NA,(109),NA,NA,"-20,203.00","-18,000.00",NA,"-2,000.00","18,000.00",377.53,NA,103.41,"2,900.00",NA,NA,-159.73,NA,2.96,NA,NA,NA,NA,NA,"10,953.00",820.54,0.94,NA,NA,NA,NA,64.00,NA,NA,NA,-788.19,NA,"1,204.90",74.73,NA,542.24,NA,NA,NA,NA,NA,NA,"-93,000.00","-6,550.00","-6,500.00","-5,500.00","-49,000.00",NA,"-35,000.00","2,831.52",NA,NA,-600.00,-1.81,NA,-904.42,NA,"2,000.00",NA,NA,"-3,000.00","2,000.00",NA,NA,NA,NA,NA,NA,"-15,000.00",NA,NA,NA,NA,NA,"-44,900.00",NA,"-28,000.00",527.48,"-66,000.00",NA,NA,NA,NA,NA,"4,000.00",14.39,NA,-72.00,NA,NA,NA,0.12,NA,NA,"-14,000.00","-1,404.92",NA,"-1,000.00",NA,NA,NA,"232,000.00",NA,NA,NA,NA,"-4,300.00",NA,NA,-192.00,"1,761.11",NA,NA,NA,"23,000.00",-288.82,NA,3.80,NA,103.00,"17,095.00",NA,NA,"3,552.00",0.06,"12,000.00",324.00,NA,NA,NA
Net Change in Cash,272621,"(129,000)",(65),"(154,000)","276,000","(130,857)",(6),NA,"-145,914.00","-689,000.00","-21,800.87","-542,000.00","530,000.00","-10,656.82",135.51,"95,437.73","-115,100.00",227.96,-48.12,"1,227.73","-13,995.00","8,824.50",NA,"74,700.00",NA,"13,763.00",NA,"237,906.00","3,901.47","12,760.94","-174,000.00","315,000.00",49.84,"-2,738.81","23,437.00","41,049.82","136,000.00","-918,700.00","11,819.67","22,460.00","-295,803.52","2,667.79","-12,000.00","19,764.94",NA,"1,168,000.00",79.77,-41.30,"80,793.00","1,141.70","-3,885,000.00","-63,521.00","-525,200.00","-97,500.00","196,000.00",NA,"-117,000.00","-2,831.52",NA,NA,"-19,300.00","3,763.99",NA,"-58,981.20",NA,"-763,000.00","-704,000.00",968.08,"12,000.00","94,000.00","214,000.00","2,327,000.00",NA,"1,316,000.00","12,215.00","321,000.00","5,239,000.00","908,000.00",123.99,"871,000.00","-12,250.05","7,551.31","-429,400.00",21.47,"-1,159,000.00","26,457.52","2,000.00",NA,-217.10,-6.48,"839,000.00",NA,"66,000.00","-5,421.36",35.99,"89,289.00","-1,390,000.00","-117,000.00",142.34,"-4,972.79",-31.11,"286,024.54","-332,000.00","-1,818.18","-2,038.83","-112,000.00","-1,880.59","-122,083.00",NA,"-9,963,000.00",NA,"274,000.00","-4,000.00","-38,596.00","-202,800.00",-106.06,412.73,"1,406,989.00","19,307.55","1,679.95",-9.00,"-18,374.98","-216,000.00","1,823.17","92,000.00",239.41,0.74,"8,993.00","-85,684.00","-122,000.00",NA,"-46,498.00",-229.77,"-1,059,000.00","-71,891.00","-12,003,000.00","984,000.00",NA
Capital Expenditure,272592,"(888,000)",(74),"(166,000)","(256,000)","(87,175)",NA,NA,"-20,180.00","-291,000.00",-316.11,"-55,000.00","-246,000.00","-1,206.52",NA,"-3,834.21","-145,500.00",-5.95,NA,-13.83,"-6,219.00",-796.61,NA,"-12,300.00","-594,000.00","-123,429.00",NA,"-28,030.00","-1,641.08",-421.38,"-306,000.00","-1,351,000.00",-59.98,-74.87,"-31,260.00",-509.67,"-2,215,000.00","-113,000.00","-9,988.99","-251,277.00","-3,012.26",-44.70,"-698,000.00","-1,283.51",NA,"-2,140,000.00",-230.32,NA,"-25,991.00","-1,120.96","-1,368,000.00","-2,136.00","-8,400.00","-55,000.00","-289,000.00",NA,"-104,000.00","-227,726.54",NA,NA,"-23,900.00",-958.62,NA,"-2,131.85",NA,"-654,000.00","-131,000.00",-7.92,"-180,000.00","-95,000.00","-267,000.00","-698,000.00",NA,"-162,000.00","-1,279.00","-190,000.00","-328,000.00","-95,000.00",NA,"-122,000.00","-1,704.01","-4,636.70","-368,700.00",NA,"-72,000.00",-420.04,"-310,000.00",NA,NA,NA,"-26,000.00",NA,"-52,000.00",-95.07,NA,"-48,058.00","-205,000.00","-265,000.00",-16.95,-324.18,NA,"-1,791.69","-54,000.00",-69.38,-118.35,"-84,000.00",NA,"-176,734.00",NA,"-436,000.00",NA,"-579,000.00","-97,000.00","-14,239.00","-45,400.00",NA,"-12,331.55","-1,061,691.00","-23,962.13",-8.50,"-111,569.00","-2,429.87","-387,000.00",-253.08,"-9,000.00",-430.36,NA,"-152,709.00","-75,539.00","-5,000.00",NA,"-10,504.00",NA,"-339,000.00","-208,722.00","-4,494,000.00","-261,000.00",NA
Change in Net Working Capital,272627,"575,000",(824),"332,000","183,000","(43,388)",(147),NA,"229,859.00","3,425,000.00","19,112.59","346,000.00","-113,000.00","53,238.71",-633.49,"-18,211.72","228,600.00",962.32,NA,-458.05,"-13,825.00","-35,429,503.38",NA,"157,900.00","685,000.00","-29,484.00",NA,"-24,623.00","14,404.61","-4,036.42","-148,000.00","821,000.00",-241.12,NA,"84,422.00","137,773.35","917,000.00","246,300.00","-25,730.65","-61,696.00","260,258.90","4,092.68","-342,000.00","-23,379.12",NA,"-273,000.00","-1,426.04",381.34,"-13,902.00","-2,522.97","-714,000.00","70,029.00","108,200.00",NA,"148,000.00",NA,"153,000.00","692,577.86",NA,NA,"-178,100.00","1,408.09",NA,"113,569.50",NA,"182,000.00","-306,000.00",-122.14,NA,"69,000.00","362,000.00","-2,268,000.00",NA,"-312,000.00","-55,415.00","220,000.00","-2,729,000.00","-772,000.00",2.26,"-668,000.00","4,958.09","1,139.86","-76,900.00",3.89,"1,891,000.00","-13,833.67","402,000.00",NA,1.85,NA,"-876,000.00",NA,"-49,000.00","1,796.28",-557.15,"-89,731.00","-1,451,000.00","-154,000.00",771.70,"12,322.83",-228.13,"-2,177.26","201,000.00","6,320.13","8,122.43","219,000.00",174.86,"80,006.00",NA,"-2,477,000.00","-75,044.93","372,000.00","-248,000.00","36,778.00","156,300.00",NA,"39,049.51","-1,398.00","14,781.79",NA,"5,556.00","-27,736.73","-788,000.00","-7,977.87","-237,000.00","1,899.66",310.70,"215,841.00","-510,899.00","-3,000.00",NA,"21,889.00",NA,"-492,000.00","-11,325.00","504,000.00","89,000.00",NA
