SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4007308,4348291,4092820,4010203,4306680,4972886,5737378,4066994,4004086,4994491,4069317,4133271,4338167,4714599,4989802,4101861,5144759,6863895,7192475,4206401,5992950,6950796,4150067,4074390,4072680,4412084,4388431,8581385,25869381,4004350,4001616,5330448,7682850,4068060,4896737,4121470,4040823,4977218,4004341,4619073,4773271,4111501,4968132,5155441,4057056,4914509,10721065,4144672,4981251,113873,4275565,4992262,108009705,4004201,19230515,4010641,4773655,5730751,6623431,4095387,4350960,4990439,4996606,20085583,4283738,105223,4355113,29724772,4547508,4275772,4004136,4999128,4120239,4398514,4100855,4004318,4121199,14345870,4004104,4914124,4970781,4095638,4987965,4069640,4982229,105135,114744693,4352316,4989735,4087349,110714273,4280272,4987518,6675493,4385530,4069910,4021829,4812824,4915902,5931488,10836633,4066321,4910566,9037983,4014547,4355493,4010846,101477040,4041363,4210825,4010841,4095757,4987464,6331267,4864143,4911452,4980858,4995500,9385215,4135999,4976675,4001600,4968196,4070675,10303371,4915603,4884928,4064204,4228223,138815179,4107956,4987606,4011157,4242781,4057229,4011165,4001764
,,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024,FQ12024
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,3/31/2024,9/30/2023,3/31/2024,3/31/2024,9/30/2023,3/31/2024,,3/30/2024,3/31/2024,3/31/2024,4/29/2023,12/31/2023,3/31/2024,9/30/2023,3/31/2024,8/27/2023,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,,3/31/2024,3/31/2024,3/31/2024,,3/30/2024,3/31/2024,9/30/2023,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,9/30/2023,3/31/2024,7/31/2023,,3/31/2024,3/31/2024,5/31/2023,6/30/2023,9/30/2023,3/31/2024,3/30/2024,3/29/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,,6/30/2023,3/31/2024,9/30/2023,3/31/2024,9/30/2023,,3/31/2024,1/31/2024,3/31/2024,6/30/2023,3/31/2024,3/31/2024,5/20/2023,,4/29/2023,3/31/2024,3/31/2024,5/5/2023,3/31/2024,7/31/2023,4/29/2023,3/31/2024,3/31/2024,3/31/2024,3/31/2024,6/30/2023,3/31/2024,3/31/2024,3/31/2024,3/31/2024,6/30/2023,3/31/2024,2/29/2024,3/30/2024,7/31/2023,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,9/30/2023,3/31/2024,3/31/2024,11/30/2023,9/30/2023,3/31/2024,3/31/2024,3/31/2024,,8/31/2023,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,3/31/2024,9/30/2023,3/31/2024,3/31/2024,12/31/2023,3/31/2024,3/31/2024,3/31/2024,12/31/2023,5/5/2023,3/31/2024,9/30/2023,3/31/2024,9/30/2023,3/31/2024,,2/2/2024,3/31/2024,3/31/2024,6/30/2023,3/31/2024,3/31/2024,
Financial Filing Date,309159,5/5/2025,3/13/2025,5/2/2025,5/8/2025,2/23/2025,5/14/2025,,5/1/2025,4/23/2025,5/13/2025,6/4/2024,2/6/2025,8/11/2025,2/27/2025,5/8/2025,10/2/2024,4/24/2025,7/18/2025,5/26/2025,5/8/2025,5/5/2025,,4/23/2025,4/24/2025,4/24/2025,,8/6/2025,5/9/2024,2/24/2025,4/16/2025,8/1/2025,5/8/2025,9/24/2025,4/24/2025,5/14/2025,5/6/2025,4/22/2025,5/8/2025,4/23/2025,7/17/2025,2/19/2025,5/8/2025,9/11/2024,,5/1/2025,5/15/2024,11/4/2024,7/30/2024,2/26/2025,5/6/2025,5/15/2025,5/1/2025,4/30/2025,5/2/2025,8/29/2025,4/25/2025,8/28/2025,,8/11/2023,5/6/2025,3/14/2025,6/19/2025,2/20/2025,,5/1/2025,2/28/2025,5/30/2025,8/7/2024,4/24/2025,4/18/2025,6/28/2024,,6/6/2024,4/30/2025,5/8/2025,5/30/2024,4/25/2025,10/1/2024,5/30/2024,5/13/2025,5/15/2025,5/12/2025,8/14/2025,8/7/2024,8/12/2025,4/22/2025,6/10/2025,5/12/2025,8/16/2024,4/29/2025,4/21/2025,5/1/2025,12/6/2024,9/1/2025,5/1/2025,4/22/2025,4/23/2025,9/3/2025,7/30/2025,2/19/2025,5/20/2025,4/30/2025,4/10/2025,2/19/2025,5/7/2025,5/23/2025,4/30/2025,,9/10/2024,5/31/2024,5/7/2025,8/8/2025,5/8/2025,4/30/2025,4/18/2025,3/3/2025,4/29/2025,5/9/2025,5/28/2025,7/22/2025,5/15/2025,4/22/2025,1/31/2025,6/3/2024,5/27/2025,2/25/2025,5/12/2025,10/30/2024,4/25/2025,,3/6/2025,7/21/2025,4/24/2025,8/9/2024,4/25/2025,5/5/2025,
Spot Exchange Rate,275660,1.000000,0.645286,1.000000,1.000000,0.645286,0.251206,NA,1.000000,1.000000,0.027538,1.000000,1.000000,0.741735,0.645286,0.251206,1.000000,0.093526,0.000040,0.738487,1.000000,0.000063,NA,1.000000,1.000000,1.000000,NA,1.000000,1.078865,0.645286,1.000000,1.000000,0.027538,1.078865,1.000000,1.078865,1.000000,1.000000,1.000000,1.000000,1.078865,0.645286,1.000000,0.760219,NA,1.000000,0.251206,0.050575,1.000000,0.645286,1.000000,1.000000,1.000000,1.000000,1.000000,0.652103,1.000000,1.078865,NA,0.012185,1.000000,0.645286,0.000040,1.220316,NA,1.000000,1.000000,0.738487,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,0.760219,1.000000,0.027538,0.217174,1.000000,0.251206,1.000000,0.598337,1.000000,0.027538,0.738487,0.214261,1.000000,0.736800,1.000000,1.286223,0.652103,1.000000,1.000000,1.000000,1.410935,0.000040,0.645286,1.078865,1.000000,0.052883,0.645286,1.000000,0.738487,1.000000,NA,1.000000,1.078865,1.000000,1.000000,1.000000,1.000000,0.000040,0.053003,1.000000,0.027538,0.681663,1.000000,1.000000,1.000000,0.148297,1.000000,0.738487,0.645286,1.000000,1.000000,1.000000,NA,1.000000,0.000040,1.000000,1.000000,1.000000,1.000000,NA
Average Exchange Rate,275661,1.000000,0.654817,1.000000,1.000000,0.654817,0.250610,NA,1.000000,1.000000,0.028049,1.000000,1.000000,0.746107,0.654817,0.250610,1.000000,0.096234,0.000041,0.741678,1.000000,0.000064,NA,1.000000,1.000000,1.000000,NA,1.000000,1.085646,0.654817,1.000000,1.000000,0.028049,1.085646,1.000000,1.085646,1.000000,1.000000,1.000000,1.000000,1.085646,0.654817,1.000000,0.749434,NA,1.000000,0.250610,0.054026,1.000000,0.654817,1.000000,1.000000,1.000000,1.000000,1.000000,0.657668,1.000000,1.085646,NA,0.012171,1.000000,0.654817,0.000041,1.266029,NA,1.000000,1.000000,0.741678,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,0.749434,1.000000,0.028049,0.218297,1.000000,0.250610,1.000000,0.612621,1.000000,0.028049,0.741678,0.221005,1.000000,0.743980,1.000000,1.265705,0.657668,1.000000,1.000000,1.000000,1.410249,0.000041,0.654817,1.085646,1.000000,0.053053,0.654817,1.000000,0.741678,1.000000,NA,1.000000,1.085646,1.000000,1.000000,1.000000,1.000000,0.000041,0.053674,1.000000,0.028049,0.651261,1.000000,1.000000,1.000000,0.144298,1.000000,0.741678,0.654817,1.000000,1.000000,1.000000,NA,1.000000,0.000041,1.000000,1.000000,1.000000,1.000000,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"85,000","3,783","9,708,000","102,000","940,182",9,NA,"242,810","7,508,000","410,266","1,046,000","1,182,000","22,945","3,238","1,009,058","93,300","10,527","2,481",86,"31,363","29,849",NA,"149,400","659,000","2,962",NA,"327,039","111,821","6,497","1,485,000","265,000","1,566","20,826","929,954","71,213","459,000","201,000","110,000","648,048","869,565","75,007","1,946,000","37,201",NA,"720,000",409,"2,680","53,149","6,901","24,901,000","112,889","704,600","2,551,000","1,365,000","3,782","1,891,000","5,143,273",NA,"2,473,955","569,300","25,009","1,102","185,366",NA,"1,379,000","2,263,000",703,"1,507,000","317,000","119,000","2,632,000",NA,"286,000","48,996","4,474,000","3,373,000","10,512,000",661,"603,000","217,772","30,964","838,000",156,"2,636,000","37,198","10,971,000","1,431","3,811",94,"3,608,000","7,710","1,512,000","54,828",758,"249,326","3,061,000","652,000",67,"11,478","83,490","395,882","372,000","24,067","75,036","1,254,000","3,230","65,000",NA,"12,083,000","66,405","1,272,000","386,000","17,610","323,500",415,"17,338","437,000","355,348","2,113","343,111","104,827","5,607,000","17,126","422,000","11,383",25,"457,952","569,104","383,000",NA,"198,500","1,593","4,917,000","2,092,772","2,425,000","667,000",NA
