SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"34,114,000","21,362","6,002,000","10,143,000","7,859,586",3,NA,"517,088","10,696,000","319,867","2,295,000","6,646,000","415,265","1,346","184,527","2,914,600","3,986",NA,898,"43,379","50,468",NA,"2,668,500","29,391,000","7,487,381",NA,"2,003,102","125,968","1,261","35,563,000","60,556,000","16,727","2,612","1,024,338","51,591","117,983,000","1,850,200","922,000","23,022,582","282,663","6,845","85,906,000","41,449",NA,"74,604,000","3,315","431,271","1,705,074","73,277","41,244,000","196,727","592,700","2,445,000","14,199,000",1,"6,055,000",NA,NA,NA,"501,300","220,848",NA,"253,948",NA,"30,307,000","3,972,000","1,086","3,682,000","3,554,000","37,313,000","31,594,000",NA,"10,171,000","54,475","35,629,000","20,906,000","20,348,000","1,153","8,579,000","164,964","331,123","37,959,000",461,"3,865,000","159,602","9,816,000",NA,110,898,"1,624,000",NA,"1,491,000","33,934",208,"1,829,741","11,453,000","35,051,000","5,299","20,873",NA,"221,533","1,686,000","2,834","10,429","4,017,000",NA,"32,807,000",NA,"17,644,000","2,568","59,801,000","15,969,000","561,635","1,358,700","3,297","341,374","30,624,000","836,434",118,"6,350,685","1,160,805","17,277,000","12,183","245,000",NA,927,"8,737,147","5,795,404","37,000",NA,"761,000",NA,"30,072,000","9,605,545","132,214,000","36,451,000",NA
Total Assets,268552,"41,306,000","27,041","92,980,000","14,952,000","12,926,373",265,NA,"20,262,876","134,484,000","1,632,136","5,363,000","52,274,000","883,798","5,435","2,096,747","22,365,400","55,901",NA,"9,527","1,143,131","237,990",NA,"7,066,800","40,199,000","8,656,642",NA,"8,152,783","939,841","17,726","42,695,000","102,005,000","30,062","124,401","11,987,033","1,067,519","178,670,000","12,251,300","2,931,000","25,438,320","11,712,159","338,061","115,789,000","344,972",NA,"103,211,000","10,475","442,127","2,916,246","125,830","274,341,000","890,972","17,520,100","32,208,000","27,618,000","288,477","24,654,000",NA,NA,NA,"6,203,000","300,490",NA,"2,172,284",NA,"56,962,000","35,846,000","5,934","10,986,000","52,286,000","70,736,000","50,193,000",NA,"14,710,000","3,522,886","42,911,000","45,917,000","36,018,000","1,892","16,868,000","564,079","596,597","53,513,000","6,674","64,096,000","441,885","55,243,000",NA,"3,945","3,873","36,475,000","8,136","13,326,000","165,163","2,635","8,745,353","47,818,000","42,128,000","29,597","92,453","87,621","930,690","12,100,000","92,001","115,680","11,269,000","5,017","44,390,000",NA,"136,662,000","7,693,267","74,277,000","27,356,000","3,032,876","5,567,400","18,964","1,224,732","35,190,000","1,644,532","10,158","7,371,801","2,296,630","160,187,000","69,696","5,957,000","11,395","1,806","11,887,994","23,272,751","3,968,000",NA,"3,801,100",NA,"62,574,000","17,897,606","380,158,000","52,747,000",NA
Net Debt,268593,"17,099,000","(3,596)","54,312,000","5,197,000","7,652,449",(9),NA,"3,335,138","40,432,000","360,204","4,932,000","14,928,000","345,848","-2,268","-950,572","9,180,300","-1,491","-2,481","6,671","442,392","91,662",NA,"4,777,500","18,502,000","2,403,282",NA,"2,754,102","84,172","-4,111","17,648,000","41,702,000","8,222","52,061","3,012,503","598,831","81,864,000","5,424,300","817,000","4,856,693","1,521,200","-31,822","52,281,000","-20,639",NA,"44,651,000",-11,"161,634","1,133,429","16,075","126,522,000","259,847","3,237,100","7,117,000","6,926,000","-3,782","6,896,000","77,463",NA,"-2,467,657","2,926,700","72,366",-296,"156,078",NA,"40,724,000","8,671,000",-629,"2,755,000","16,433,000","32,027,000","17,895,000",NA,"7,775,000","1,339,301","23,982,000","37,224,000","-1,351,000",-661,"5,389,000","-130,465","314,081","50,107,000",463,"4,840,000","-20,900","11,285,000","-1,287","-3,683",157,"21,434,000","-7,710","5,364,000","-53,524","2,316","2,904,427","14,750,000","17,465,000",757,"6,759","-62,841","85,309","5,260,000","-21,572","-64,859","2,047,000","-3,230","21,936,000",NA,"76,858,000","5,439,193","19,564,000","7,737,000","1,576,627","1,889,300",-415,"171,232","20,748,000","-146,679","-2,004","1,564,498","467,901","38,647,000","-9,011","2,074,000","-6,978","1,250","4,877,776","11,129,133","590,000",NA,"1,115,300","-1,394","5,980,000","5,671,507","178,349,000","26,220,000",NA
Total Debt,274444,"17,184,000",187,"64,020,000","5,299,000","8,592,631",0,NA,"3,577,948","47,940,000","770,470","5,978,000","16,110,000","368,793",970,"58,486","9,273,600","9,036",0,"6,757","473,755","121,511",NA,"4,926,900","19,161,000","2,406,244",NA,"3,081,141","195,993","2,385","19,133,000","41,967,000","9,788","72,887","3,942,457","670,043","82,323,000","5,625,300","927,000","5,504,741","2,390,765","43,186","54,227,000","16,561",NA,"45,371,000",398,"164,314","1,186,578","22,976","151,423,000","372,736","3,941,700","9,668,000","8,291,000",0,"8,787,000","5,220,736",NA,"6,299","3,496,000","97,376",806,"341,444",NA,"42,103,000","10,934,000",74,"4,262,000","16,750,000","32,146,000","20,527,000",NA,"8,061,000","1,388,297","28,456,000","40,597,000","9,161,000",0,"5,992,000","87,307","345,046","50,945,000",619,"7,476,000","16,298","22,256,000",144,128,252,"25,042,000",0,"6,876,000","1,304","3,074","3,153,753","18,154,000","18,117,000",824,"18,236","20,649","481,191","5,632,000","2,495","10,177","3,301,000",0,"22,001,000",NA,"88,941,000","5,505,598","20,836,000","8,123,000","1,594,237","2,212,800",0,"188,570","21,185,000","208,668",109,"1,907,609","572,729","44,254,000","8,114","2,525,000","4,405","1,274","5,335,728","11,698,237","1,134,000",NA,"1,313,800",199,"10,897,000","7,764,279","180,774,000","26,887,000",NA
Total Common Equity,268583,"11,443,000","24,448","5,022,000","2,607,000","2,350,778",108,NA,"5,699,146.00","-17,009,000.00","530,686.71","-2,171,000.00","25,332,000.00","243,654.83","3,915.19","414,319.23","8,884,500.00","29,371.06","5,916.64","-3,449.56","481,450.00","41,245.91",NA,"826,900.00","9,998,000.00","4,309,320.00",NA,"3,640,435.00","440,968.82","12,888.15","12,597,000.00","25,638,000.00","16,617.06","44,424.87","5,152,852.00","44,444.92","47,589,000.00","4,561,500.00","1,025,000.00","15,164,209.00","8,083,935.70","262,905.72","30,309,000.00","185,924.54",NA,"26,061,000.00","6,323.77","243,302.36","1,238,411.00","82,126.22","42,870,000.00","229,085.00","10,476,700.00","7,408,000.00","11,226,000.00","6,449.11","9,636,000.00","14,754,126.66",NA,"2,872,333.66","1,005,900.00","189,676.30","5,606.26","743,416.40",NA,"-1,615,000.00","-1,640,000.00",15.84,"1,240,000.00","24,653,000.00","30,372,000.00","10,905,000.00",NA,"3,720,000.00","1,869,203.00","4,250,000.00","-14,710,000.00","10,196,000.00","1,844.85","4,170,000.00","390,775.87","93,216.18","-4,833,000.00","4,373.43","-1,602,000.00","318,327.65","4,866,000.00","4,565.09","3,787.62","2,742.97","-5,114,000.00","7,756.69","521,000.00","55,827.23","-1,975.54","2,674,264.00","14,223,000.00","12,536,000.00","10,806.66","55,585.11","66,041.81","174,417.95","3,076,000.00","82,111.76","85,922.44","5,229,000.00","4,859.04","16,445,000.00",NA,"2,370,000.00","1,555,361.96","22,524,000.00","8,042,000.00","1,058,536.00","1,378,100.00","11,588.13","687,334.10","5,151,000.00","1,296,769.02","6,927.66","3,826,767.00","243,384.24","60,485,000.00","50,237.42","1,692,000.00","6,951.91",-419.56,"3,356,241.00","2,125,799.00","143,000.00",NA,"1,547,900.00","4,829.35","26,057,000.00","5,939,510.00","94,334,000.00","12,414,000.00",NA
Total Equity,268585,"11,572,000","24,409","5,022,000","3,653,000","2,350,778",108,NA,"5,769,338.00","-17,016,000.00","528,642.51","-2,170,000.00","25,332,000.00","348,393.77","3,915.19","424,849.28","8,955,100.00","29,371.06","5,916.64","-3,449.56","481,450.00","59,099.24",NA,"826,900.00","9,998,000.00","4,309,320.00",NA,"3,703,925.00","447,828.24","12,888.15","12,602,000.00","27,421,000.00","16,617.31","44,424.87","5,152,852.00","101,528.75","50,638,000.00","4,712,200.00","1,025,000.00","15,171,401.00","8,083,935.70","258,614.57","44,466,000.00","188,379.29",NA,"26,061,000.00","6,857.91","255,898.70","1,238,411.00","82,126.22","42,897,000.00","226,573.00","10,483,100.00","7,599,000.00","11,559,000.00","6,449.11","9,682,000.00","17,123,745.82",NA,"2,872,789.39","1,029,900.00","189,676.30","5,606.26","743,416.40",NA,"1,270,000.00","-1,640,000.00",430.48,"1,339,000.00","24,653,000.00","31,743,000.00","10,880,000.00",NA,"3,720,000.00","1,869,203.00","8,298,000.00","-14,710,000.00","10,196,000.00","1,844.85","4,170,000.00","400,543.82","110,052.51","-4,833,000.00","4,373.43","-1,240,000.00","385,901.39","4,933,000.00","4,565.09","3,787.62","2,749.19","-5,064,000.00","7,756.69","537,000.00","55,827.23","-1,975.54","2,690,024.00","14,223,000.00","12,536,000.00","10,806.66","59,177.57","66,041.81","192,396.16","3,076,000.00","82,616.74","85,922.44","5,272,000.00","4,859.04","16,445,000.00",NA,"2,841,000.00","1,555,866.87","30,967,000.00","13,646,000.00","1,058,536.00","1,380,600.00","11,588.13","675,761.80","5,325,000.00","1,296,717.69","6,927.66","3,826,767.00","262,859.34","62,137,000.00","50,237.42","1,692,000.00","6,951.91",-419.56,"3,363,902.00","2,160,349.00","143,000.00",NA,"1,547,900.00","4,829.35","28,824,000.00","5,975,872.00","95,726,000.00","14,930,000.00",NA
Current Ratio (x),274464,0.60,2.26,1.42,1.16,1.27,2.12,NA,1.49,1.14,1.74,1.63,1.08,1.39,5.21,1.14,0.91,1.53,NA,0.85,1.62,0.85,NA,0.50,1.25,0.53,NA,1.75,1.94,4.72,1.15,1.05,1.37,28.68,1.31,1.69,0.78,0.73,1.16,0.88,6.24,7.10,1.18,1.92,NA,1.03,1.95,0.32,2.68,0.63,1.17,2.16,1.50,1.06,1.67,1.02,2.12,NA,NA,NA,1.11,2.65,NA,1.38,NA,1.16,0.71,0.32,1.01,0.51,0.50,0.77,NA,1.17,33.76,0.98,1.25,1.09,15.76,1.22,3.08,0.79,0.83,0.73,0.94,4.59,1.64,NA,67.44,1.34,0.48,20.90,1.19,1.68,0.18,1.31,1.13,0.68,1.45,1.84,4.00,2.14,1.15,10.28,4.80,1.76,33.49,0.70,NA,0.87,1.92,0.95,0.97,2.38,1.47,1.66,1.34,0.19,2.38,1.30,1.35,0.73,1.07,3.97,1.08,47.45,0.42,1.04,1.29,1.06,NA,2.13,NA,1.59,2.33,0.71,0.52,NA
Quick Ratio (x),274465,0.27,1.56,0.84,0.79,1.20,1.09,NA,1.00,0.22,1.68,0.93,0.46,0.18,5.21,1.00,0.27,1.40,NA,0.84,1.44,0.68,NA,0.32,0.56,0.16,NA,1.17,1.17,3.53,0.95,0.17,0.57,28.67,0.82,1.26,0.28,0.61,0.80,0.50,5.77,6.72,0.93,0.77,NA,0.54,0.97,0.20,1.32,0.42,0.95,0.84,1.02,0.73,0.72,0.02,1.30,NA,NA,NA,0.67,2.65,NA,1.33,NA,0.87,0.35,0.29,0.66,0.25,0.33,0.26,NA,0.08,0.78,0.83,0.18,0.97,14.83,0.18,2.91,0.56,0.63,0.54,0.51,2.28,1.20,NA,67.24,1.34,0.35,20.48,0.93,1.26,0.17,1.19,0.96,0.54,1.28,0.65,3.99,1.84,0.45,6.22,4.64,1.18,33.23,0.42,NA,0.73,0.15,0.52,0.86,0.82,0.32,1.20,0.66,0.09,2.29,1.28,0.81,0.47,0.64,2.56,0.91,47.40,0.34,0.80,0.70,0.32,NA,0.75,NA,1.00,1.85,0.53,0.37,NA
Total Debt/Equity (%),274466,148.50,0.77,"1,274.79",145.06,365.52,NA,NA,62.02,NM,145.75,NM,63.60,105.86,24.77,13.77,103.56,30.77,NA,NM,98.40,205.61,NA,595.83,191.65,55.84,NA,83.19,43.77,18.51,151.83,153.05,58.90,164.07,76.51,659.95,162.57,119.38,90.44,36.28,29.57,16.70,121.95,8.79,NA,174.10,5.80,64.21,95.82,27.98,352.99,164.51,37.60,127.23,71.73,NA,90.76,30.49,NA,0.22,339.45,51.34,14.38,45.93,NA,"3,315.20",NM,17.30,318.30,67.94,101.27,188.67,NA,216.69,74.27,342.93,NM,89.85,NA,143.69,21.80,313.53,NM,14.15,NM,4.22,451.17,3.16,3.39,9.16,NM,NA,"1,280.45",2.34,NM,117.24,127.64,144.52,7.62,30.82,31.27,250.10,183.10,3.02,11.85,62.61,NA,133.79,NA,"3,130.62",353.86,67.29,59.53,150.61,160.28,NA,27.91,397.84,16.09,1.57,49.85,217.88,71.22,16.15,149.23,63.36,NM,158.62,541.50,793.01,NA,84.88,4.12,37.81,129.93,188.85,180.09,NA
Total Debt / Total Capital (%),274467,59.76,0.76,92.73,59.19,78.52,NA,NA,38,155,59,157,39,51,20,12,51,24,NA,204,50,67,NA,86,66,36,NA,45,30,16,60,60,37,62,43,87,62,54,47,27,23,14,55,8,NA,64,5,39,49,22,78,62,27,56,42,NA,48,23,NA,0,77,34,13,31,NA,97,118,15,76,40,50,65,NA,68,43,77,157,47,NA,59,18,76,110,12,120,4,82,3,3,8,125,NA,93,2,280,54,56,59,7,24,24,71,65,3,11,39,NA,57,NA,97,78,40,37,60,62,NA,22,80,14,2,33,69,42,14,60,39,149,61,84,89,NA,46,4,27,57,65,64,NA
Total Debt / EBITDA (x),274468,5.09,NM,5.08,1.20,8.24,NA,NA,4,24,3,4,4,14,NM,0,4,1,NA,NM,3,5,NA,7,5,3,NA,3,2,NM,3,7,2,NA,3,5,6,4,4,2,2,1,4,0,NA,6,0,5,1,3,13,13,3,3,3,NA,2,2,NA,0,5,63,NM,1,NA,3,2,NM,3,4,4,2,NA,6,17,5,2,4,NA,3,1,4,3,0,1,1,3,0,NM,1,2,NA,2,0,NA,2,3,4,NM,2,NA,7,7,0,0,1,NA,4,NA,5,135,2,3,4,5,NA,1,4,1,0,2,3,4,NM,3,NA,NM,5,3,2,NA,2,1,1,11,3,4,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"1,744,000",NA,"7,447,000","1,966,000","496,351",168,NA,"6,924,260","16,569,000","217,354","1,396,000","4,706,000","24,466",610,"412,222","2,904,000","22,261",372,697,"180,176","105,409",NA,"590,900","2,620,000","376,775",NA,"1,011,560","158,955","2,387","3,681,000","3,632,000","6,377","11,758","1,883,719","108,146","7,671,000","1,389,400","638,000","1,258,236","668,758","27,486","21,629,000","94,293",NA,"6,043,000","3,867","15,709","601,521","20,381","42,777,000","254,884","1,524,500","4,650,000","2,975,000","3,169","5,804,000","3,440,250",NA,"476,547","757,300",NA,649,"2,239,858",NA,"17,339,000","13,185,000",NA,"4,193,000","3,468,000","3,842,000","45,165,000",NA,"3,571,000","390,851","4,135,000","22,347,000","6,329,000",NA,"5,173,000","113,028","141,278","6,169,000",240,"74,483,000","26,134","6,016,000","1,830",-203,388,"4,717,000",NA,"2,389,000","36,087",68,"2,686,849","10,133,000","3,004,000","1,131","14,275","-2,084","216,665","1,653,000","25,718","40,384","2,017,000",-165,"4,781,000",NA,"12,453,000","18,309","5,975,000","11,639,000","933,492","1,758,300",211,"345,113","3,728,000","190,313","2,649","602,181","837,254","19,305,000","12,341","2,028,000",NA,231,"1,580,956","19,620,000","1,264,000",NA,"1,001,900","1,667","30,372,000","779,791","32,981,000","2,780,000",NA
