,,,,,,,,,,,
DS,,,,,,,,,,,
List Data exported on 05/27/2026 4:25:23 PM ET  ,,,,,,,,,,,
Ticker ,Entity Name ,Last Time ,MI KEY ,,,,,,,,
HAS,Hays plc (LSE:HAS),11:35:42 AM ET  ,4996606,,,,,,,,
HCA,Hamilton Canadian Bank Mean Reversion Index ETF (TSX:HCA),2:53:08 PM ET  ,20085583,,,,,,,,
HCA,"HCA Healthcare, Inc. (NYSE:HCA)",4:00:02 PM ET  ,4283738,,,,,,,,
HPQ,HP Inc. (NYSE:HPQ),4:00:02 PM ET  ,105223,,,,,,,,
HPQ,HPQ Silicon Inc. (TSXV:HPQ),2:40:35 PM ET  ,4355113,,,,,,,,
KD,"Kyndryl Holdings, Inc. (NYSE:KD)",4:00:02 PM ET  ,29724772,,,,,,,,
KDP,Keurig Dr Pepper Inc. (NASDAQGS:KDP),4:00:00 PM ET  ,4547508,,,,,,,,
KMI,"Kinder Morgan, Inc. (NYSE:KMI)",4:00:02 PM ET  ,4275772,,,,,,,,
KR,The Kroger Co. (NYSE:KR),4:00:02 PM ET  ,4004136,,,,,,,,
KR,Krugerrand (JSE:KR),,4999128,,,,,,,,
KSS,Kohl's Corporation (NYSE:KSS),4:01:59 PM ET  ,4120239,,,,,,,,
LGIH,"LGI Homes, Inc. (NASDAQGS:LGIH)",4:00:00 PM ET  ,4398514,,,,,,,,
LNG,"Cheniere Energy, Inc. (NYSE:LNG)",4:00:02 PM ET  ,4100855,,,,,,,,
LOW,"Lowe's Companies, Inc. (NYSE:LOW)",4:02:26 PM ET  ,4004318,,,,,,,,
LUV,Southwest Airlines Co. (NYSE:LUV),4:00:02 PM ET  ,4121199,,,,,,,,
M,Myriad Uranium Corp. (CNSX:M),3:56:33 PM ET  ,14345870,,,,,,,,
M,"Macy's, Inc. (NYSE:M)",4:00:02 PM ET  ,4004104,,,,,,,,
M,MK Restaurant Group Public Company Limited (SET:M),5:35:32 AM ET  ,4914124,,,,,,,,
M,Med Life S.A. (BVB:M),10:50:17 AM ET  ,4970781,,,,,,,,
MCD,McDonald's Corporation (NYSE:MCD),4:00:02 PM ET  ,4095638,,,,,,,,
MCD,Mycodern S.A. (WSE:MCD),5:03:11 AM ET  ,4987965,,,,,,,,
MCK,McKesson Corporation (NYSE:MCK),4:00:02 PM ET  ,4069640,,,,,,,,
MCK,Millennium & Copthorne Hotels New Zealand Limited (NZSE:MCK),10:11:23 PM ET  ,4982229,,,,,,,,
MMM,3M Company (NYSE:MMM),4:00:02 PM ET  ,105135,,,,,,,,
MMM,Mmm Capital Public Company Limited (SET:MMM),5:35:32 AM ET  ,114744693,,,,,,,,
MMM,Minco Capital Corp. (TSXV:MMM),12:41:34 PM ET  ,4352316,,,,,,,,
MMM,MMM Group Berhad (KLSE:MMM),4:57:32 AM ET  ,4989735,,,,,,,,
MO,"Altria Group, Inc. (NYSE:MO)",4:00:02 PM ET  ,4087349,,,,,,,,
MOG,Mogotes Metals Inc. (TSXV:MOG),3:59:19 PM ET  ,110714273,,,,,,,,
MSI,"Motorola Solutions, Inc. (NYSE:MSI)",4:00:02 PM ET  ,4280272,,,,,,,,
MSI,MS INTERNATIONAL plc (AIM:MSI),12:05:46 PM ET  ,4987518,,,,,,,,
MSI,Multistack International Limited (ASX:MSI),7:59:03 PM ET  ,6675493,,,,,,,,
MTZ,"MasTec, Inc. (NYSE:MTZ)",4:00:02 PM ET  ,4385530,,,,,,,,
NOC,Northrop Grumman Corporation (NYSE:NOC),4:00:02 PM ET  ,4069910,,,,,,,,
NSC,Norfolk Southern Corporation (NYSE:NSC),4:00:02 PM ET  ,4021829,,,,,,,,
NSC,Nablus Surgical Center Company PLC (PLSE:NSC),8:00:00 PM ET  ,4812824,,,,,,,,
NSC,Vietnam National Seed Group Joint Stock Company (HOSE:NSC),3:45:11 AM ET  ,4915902,,,,,,,,
NSC,NAOS Small Cap Opportunities Company Limited (ASX:NSC),1:55:45 AM ET  ,5931488,,,,,,,,
NWL,NewPrinces S.p.A. (BIT:NWL),11:35:00 AM ET  ,10836633,,,,,,,,
