SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Debt / EBITDA (x),274468,4.95,NA,5.19,1.17,6.13,NA,NA,2,14,5,4,3,34,NA,0,5,1,NA,17,3,5,NA,7,5,1,NA,3,2,NM,2,6,2,NA,2,4,6,4,3,1,2,1,4,0,NA,6,3,3,2,4,9,24,2,3,3,NA,2,2,NA,0,10,NM,NA,1,NA,3,2,NM,7,4,5,2,NA,5,9,1,2,4,NA,2,1,4,3,0,1,1,3,0,NM,0,2,NA,3,0,NA,4,3,3,0,1,NA,6,11,1,0,2,NA,4,NA,6,160,1,3,4,2,NA,2,7,1,0,1,1,3,0,3,NA,NM,4,3,1,NA,2,NA,1,9,4,3,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"1,991,000",NA,"6,105,000","1,976,000","512,054",130,NA,"8,736,428","17,921,000","167,994","1,450,000","4,586,000","17,352",344,"441,900","2,904,300","22,616",869,"2,568","167,068","95,402",NA,"559,500","2,779,000","513,696",NA,"1,029,373","172,725","1,955","3,706,000","3,883,000","7,124","8,859","2,079,023","108,556","7,276,000","1,302,000","610,000","1,816,743","598,166","20,887","18,995,000","78,926",NA,"5,563,000","4,295","16,299","561,387","17,600","41,474,000","325,036","1,460,700","4,707,000","3,178,000","2,102","5,677,000","3,428,968",NA,"469,174","1,001,000",NA,NA,"2,259,125",NA,"15,591,000","13,798,000",NA,"4,288,000","3,353,000","3,888,000","44,600,000",NA,"3,715,000","487,357","7,153,000","23,659,000","5,706,000",NA,"5,565,000","122,130","116,201","5,898,000",96,"67,154,000","18,903","6,055,000","1,566",22,950,"4,763,000",NA,"2,171,000","25,749",501,"2,584,659","9,301,000","3,132,000","2,407","13,397","-1,139","222,457","1,805,000","28,187","35,115","2,331,000",754,"4,521,000",NA,"11,445,000","14,657","7,225,000","12,341,000","900,100","2,196,500",97,"545,343","2,886,000","201,547","2,370","818,393","1,032,234","17,214,000","28,973","1,996,000",NA,364,"1,603,304","19,126,830","1,246,000",NA,"1,148,800","2,445","35,017,000","575,056","32,912,000","2,575,000",NA
Gross Profit,271473,"798,000",NA,"4,385,000","1,361,000","476,870",55,NA,"1,113,822","2,428,000","55,500","669,000","2,133,000","5,713",344,"39,690","720,300","4,726",180,934,"113,172","11,220",NA,"172,000","1,000,000","355,138",NA,"380,803","73,533","1,361","1,840,000","1,988,000","2,615","7,393","750,492","102,028","3,291,000","721,600","119,000","1,273,295","415,229","7,832","3,360,000","45,491",NA,"2,321,000","1,481","10,836","150,866","7,050","4,627,000","165,981","848,200","1,891,000","1,003,000","1,074","1,031,000","1,865,957",NA,"328,207","524,200",NA,NA,"383,542",NA,"6,084,000","2,787,000",NA,"611,000","1,744,000","2,034,000","9,648,000",NA,"1,575,000","100,852","8,248,000","8,050,000","983,000",NA,"2,334,000","80,088","55,652","3,314,000",135,"3,023,000","9,843","2,326,000",691,13,629,"3,329,000",NA,"1,052,000","7,310",99,"227,665","1,985,000","1,448,000","1,933","4,048","-1,139","36,082","487,000","28,187","22,114","597,000",754,"1,174,000",NA,"8,408,000","9,548","4,517,000","661,000","194,244","486,000",69,"30,276","1,192,000","37,212","1,472","438,858","126,232","3,569,000","14,404","226,000",NA,158,"343,179","3,486,284","316,000",NA,"396,100",277,"4,957,000","157,275","19,408,000","1,505,000",NA
Earnings from Cont. Ops.,271505,"265,000","(1,133)","2,841,000","326,000","65,245",(74),NA,"275,325.00","-425,000.00","25,922.59","155,000.00","509,000.00","-4,872.67",-844.06,"25,048.76","-77,500.00","1,636.09",81.20,-158.18,"11,479.00","3,753.03",NA,"155,700.00","325,000.00","710,395.00",NA,"103,954.00","21,049.01","-1,620.70","974,000.00","700,000.00",802.75,"2,016.19","228,574.00","-2,520.35","970,000.00","113,500.00","10,000.00","1,219,233.00","64,376.63","3,065.15","1,447,000.00","10,827.82",NA,"669,000.00",93.24,"11,273.76","105,005.00",-551.68,"1,663,000.00","-41,182.00","173,600.00","383,000.00","191,000.00","-1,201.33","655,000.00","365,122.79",NA,"80,318.09","-21,700.00","-3,166.75",NA,"39,242.58",NA,"1,543,000.00","469,000.00","-1,225.90","-250,000.00","467,000.00","703,000.00","666,000.00",NA,"14,000.00","26,962.00","6,435,000.00","2,333,000.00","-159,000.00",-40.14,"286,000.00","9,678.90","1,837.46","1,802,000.00",-385.77,"807,000.00","2,638.17","667,000.00",308.42,-50.94,350.33,"1,787,000.00","-1,478.57","279,000.00","1,697.84",-171.64,"-80,546.00","842,000.00","466,000.00",724.64,"1,503.35",-959.89,"6,843.24","-102,000.00",922.21,"10,461.07","382,000.00",610.53,"1,049,000.00",NA,"1,548,000.00","90,536.07","1,263,000.00","475,000.00","30,173.00","113,600.00",18.18,"10,864.51","-48,000.00","26,874.43",-78.26,"481,447.00","14,449.23","1,481,000.00","2,403.81","74,000.00","2,249.03",-449.15,"47,650.00","465,568.00","131,000.00",NA,"106,900.00",72.80,"3,146,000.00","-38,564.00","5,018,000.00","957,000.00",NA
Net Income,271510,"264,000","(1,129)","2,841,000","242,000","61,146",(74),NA,"273,750.00","-414,000.00","25,794.34","155,000.00","509,000.00","-4,456.27",-844.06,"24,220.07","-77,500.00","1,636.09",81.20,-158.18,"11,479.00","2,984.24",NA,"155,700.00","325,000.00","710,395.00",NA,"103,131.00","19,896.67","-1,620.70","974,000.00","981,000.00",802.72,"2,016.19","228,574.00","-2,944.16","804,000.00","112,400.00","10,000.00","1,218,548.00","64,376.63","2,611.51","1,112,000.00","10,758.64",NA,"669,000.00",75.39,"10,861.07","105,005.00",-551.68,"1,757,000.00","-41,262.00","173,600.00","189,000.00","176,000.00","-1,201.33","651,000.00","295,059.56",NA,"80,319.39","-22,100.00","-3,166.75",NA,"39,242.58",NA,"1,363,000.00","469,000.00","-1,226.65","-250,000.00","467,000.00","679,000.00","664,000.00",NA,"14,000.00","26,962.00","5,434,000.00","2,333,000.00","-159,000.00",-40.14,"286,000.00","9,588.41","1,590.48","1,802,000.00",-385.77,"768,000.00","1,944.39","976,000.00",308.42,-50.94,350.33,"1,787,000.00","-1,478.57","278,000.00","1,697.84",-171.64,"-80,540.00","842,000.00","466,000.00",724.64,"1,494.35",-959.89,"6,248.82","-102,000.00",938.96,"10,461.07","383,000.00",610.53,"1,049,000.00",NA,"1,548,000.00","90,536.07","1,263,000.00","422,000.00","30,173.00","113,400.00",18.18,"15,038.11","-48,000.00","26,908.59",-78.26,"481,447.00","13,981.16","1,426,000.00","2,403.81","73,000.00","2,249.03",-449.15,"45,911.00","465,568.00","131,000.00",NA,"106,900.00",72.80,"3,067,000.00","-21,564.00","4,909,000.00","927,000.00",NA
EBITDA,271528,"784,000",(991),"2,969,000","1,250,000","310,853",(74),NA,"469,119.0","989,000.0","50,830.8","333,000.0","1,191,000.0","2,753.5",-807.0,"32,194.8","494,900.0","2,955.1",NA,113.6,"36,571.0","7,076.6",NA,"157,600.0","856,000.0","1,060,486.0",NA,"249,247.0","35,877.1","-2,242.9","1,838,000.0","2,116,000.0","1,371.8",NA,"405,329.0","41,337.3","3,019,000.0","357,600.0","85,000.0","2,029,527.0","346,560.9","7,781.9","3,122,000.0","16,761.0",NA,"1,787,000.0",291.5,"12,833.6","173,275.0","1,517.4","3,581,000.0","-19,824.0","353,200.0","833,000.0","637,000.0",NA,"1,218,000.0","705,246.0",NA,"85,034.8","75,500.0","-1,732.1",NA,"63,658.9",NA,"3,190,000.0","1,189,000.0","-1,033.6","155,000.0","762,000.0","1,759,000.0","2,418,000.0",NA,"282,000.0","28,569.0","8,288,000.0","3,805,000.0","81,000.0",-14.1,"642,000.0","26,679.2","16,300.0","3,151,000.0",230.0,"1,174,000.0","3,991.7","1,408,000.0",389.0,-39.1,479.3,"2,950,000.0",NA,"542,000.0","2,713.7",NA,"78,351.0","1,377,000.0","1,448,000.0",813.5,"2,688.5",NA,"18,934.2","96,000.0","1,271.9","16,376.5","495,000.0",NA,"880,000.0",NA,"4,022,000.0","8,161.1","3,534,000.0","575,000.0","91,744.0","222,900.0",NA,"30,276.4","632,000.0","39,363.2",138.2,"745,705.0","98,223.3","3,165,000.0","4,937.9","173,000.0",NA,-391.0,"323,908.0","929,060.0","192,000.0",NA,"165,400.0",NA,"4,727,000.0","58,249.0","11,915,000.0","1,878,000.0",NA
EBIT,271530,"415,000",(991),"2,069,000","885,000","189,245",(74),NA,"422,440.0","532,000.0","36,279.8","280,000.0","624,000.0",763.4,-812.9,"23,313.7","401,900.0","2,250.1",69.0,-25.4,"12,529.0","5,105.3",NA,"119,700.0","537,000.0","955,264.0",NA,"172,178.0","27,795.7","-2,424.2","1,445,000.0","1,313,000.0","1,101.5",NA,"327,433.0","25,463.1","1,675,000.0","205,400.0","41,000.0","1,637,954.0","236,047.6","7,154.1","2,063,000.0","14,203.6",NA,"1,105,000.0",211.5,"12,819.9","139,046.0",-603.3,"1,956,000.0","-24,892.0","240,400.0","676,000.0","296,000.0",NA,"977,000.0","478,103.8",NA,"60,280.3","28,500.0","-1,763.2",NA,"57,245.9",NA,"2,434,000.0","980,000.0","-1,514.3","-87,000.0","576,000.0","1,194,000.0","1,528,000.0",NA,"82,000.0","28,087.0","7,991,000.0","3,302,000.0","-284,000.0",-40.1,"436,000.0","12,101.2","6,016.2","2,661,000.0",-77.7,"1,026,000.0","2,746.8","942,000.0",366.9,-47.3,463.9,"2,898,000.0","-2,208.9","444,000.0","2,162.9",-142.6,"-70,840.0","1,079,000.0","1,127,000.0",722.9,"1,900.2","-1,617.5","8,099.7","15,000.0","1,240.3","16,134.3","369,000.0",623.6,"718,000.0",NA,"2,789,000.0","8,095.4","1,813,000.0","319,000.0","56,234.0","161,100.0",5.0,"17,682.0","272,000.0","26,580.4",-53.8,"651,633.0","65,870.6","2,131,000.0","4,439.6","134,000.0",-7.2,-413.7,"211,388.0","740,136.0","174,000.0",NA,"137,100.0",41.7,"4,067,000.0","-56,638.0","7,597,000.0","1,372,000.0",NA
EBITDA / Interest Expense (x),274484,6.17,NA,5.47,15.25,3.79,NM,NA,4.89,1.52,3.18,4.75,11.68,0.58,NM,41.05,5.05,20.42,NA,0.93,4.44,5.76,NA,2.47,5.72,29.70,NA,7.79,43.04,NM,9.55,4.42,10.90,NA,11.85,5.51,4.30,6.21,3.04,43.60,29.36,19.79,4.92,71.48,NA,4.34,5.95,4.03,23.85,7.35,11.89,0.88,11.00,6.13,9.04,NA,11.02,8.42,NA,NM,2.14,NM,NA,32.75,NA,7.17,8.90,NA,7.75,35.26,3.95,15.11,NA,5.16,NA,28.09,16.52,8.98,NA,15.43,39.30,5.50,11.36,NM,29.20,14.63,12.32,160.94,NM,157.07,12.94,NA,9.27,65.96,NA,4.26,11.48,8.27,NA,15.50,NA,5.65,2.12,15.74,210.55,23.47,NA,5.30,NA,5.11,0.23,15.44,6.15,5.69,8.23,NA,6.46,2.12,19.06,NA,23.64,4.78,9.67,62.51,7.49,NA,NM,4.19,7.89,27.96,NA,12.23,NA,32.38,13.67,11.00,6.39,NA
EBIT / Interest Expense (x),274483,3.27,NA,3.81,10.66,2.31,NM,NA,4.40,0.82,2.27,3.15,6.12,0.16,NM,29.73,4.10,15.55,NA,NM,1.52,4.15,NA,1.85,3.58,26.73,NA,5.01,33.34,NM,7.19,2.74,8.75,NA,9.57,3.40,2.33,3.57,1.46,35.19,20.00,18.20,3.23,57.46,NA,2.68,4.32,4.03,18.93,NM,6.27,NM,7.49,4.66,3.90,NA,8.28,5.36,NA,NM,0.62,NM,NA,24.33,NA,5.08,6.85,NA,NM,25.04,2.68,8.63,NA,1.21,NA,26.91,13.48,NM,NA,9.28,17.82,2.03,8.06,NM,22.80,9.75,7.66,151.81,NM,144.14,12.71,NA,7.05,50.43,NA,NM,8.36,6.44,NA,10.96,NM,2.42,0.22,12.59,203.59,16.77,NA,4.33,NA,3.54,0.23,7.62,3.26,3.04,5.69,NA,3.77,0.78,9.76,NA,20.24,3.14,6.29,56.20,4.96,NM,NM,2.73,5.96,24.86,NA,9.72,NA,27.86,NM,6.29,4.67,NA
Avg. Days Sales Out.,274485,44.5,NA,87.0,66.9,46.0,35.5,NA,119.67,59.52,19.90,12.77,44.87,129.54,NA,71.18,25.94,56.58,NA,213.73,61.13,59.19,NA,9.19,47.36,44.29,NA,68.10,56.97,75.27,32.66,53.24,38.06,NA,64.69,192.91,50.00,61.42,78.67,55.39,210.68,96.51,40.61,94.68,NA,34.95,45.11,17.18,33.31,10.87,23.11,52.51,61.04,69.38,48.27,NA,77.86,56.21,NA,NA,88.97,NA,NA,35.39,NA,50.68,29.53,NA,45.04,39.39,36.90,4.66,NA,NA,4.34,NM,NA,3.94,NA,4.51,1.01,36.27,32.45,NA,24.52,55.34,68.15,NA,NA,18.89,32.76,NA,101.77,49.94,1.07,109.19,76.30,26.06,NM,52.51,NM,36.62,61.53,65.11,37.40,45.35,NA,26.73,NA,47.79,63.17,47.04,28.69,20.37,13.78,NM,59.71,13.63,57.87,41.45,40.53,18.90,113.56,83.07,48.30,NA,105.08,53.74,24.21,28.17,NA,27.59,NA,25.49,54.14,65.55,57.60,NA
Avg. Days Inventory Out.,274486,48.9,NA,260.1,67.0,85.4,187.0,NA,64.74,455.01,10.96,89.08,128.04,NM,NA,37.76,87.42,0.16,NA,NA,NA,16.69,NA,NA,41.91,16.03,NA,36.37,109.92,379.33,17.73,77.75,104.51,NA,93.89,0.81,84.12,NA,51.22,NA,NA,NA,12.98,395.17,NA,19.53,97.07,NA,52.12,29.33,39.32,203.83,81.32,70.49,119.32,NA,58.66,70.58,NA,NA,142.87,NA,NA,NA,NA,19.66,62.49,NA,NA,80.77,29.68,22.66,NA,144.64,NM,NM,110.32,14.54,NA,131.52,26.11,31.60,1.80,NM,27.11,158.45,128.86,NA,NA,NA,76.32,NA,86.89,101.89,93.51,5.40,12.87,13.76,170.73,231.57,NA,48.89,151.70,NA,NA,69.39,NA,15.29,NA,NA,18.02,72.62,4.59,84.47,101.11,NM,38.54,11.83,10.09,NA,NA,37.81,72.37,95.45,4.88,NA,51.34,5.58,26.53,NA,NA,137.73,NA,21.27,60.98,15.89,23.72,NA
Accounts Receivable Turnover (x),274489,8.09,NA,4.14,5.38,8.00,10.15,NA,3,6,18,29,8,3,NA,5,14,6,NA,2,6,6,NA,39,8,8,NA,5,6,5,11,7,9,NA,6,2,7,6,5,6,2,4,9,4,NA,10,8,21,11,34,16,7,6,5,7,NA,5,6,NA,NA,4,NA,NA,10,NA,7,12,NA,8,9,10,96,NA,NA,83,0,NA,91,NA,81,NM,10,11,NA,15,7,5,NA,NA,19,11,NA,4,7,NM,3,5,14,0,7,NM,10,6,6,10,8,NA,13,NA,8,6,8,13,18,26,0,6,26,6,9,9,19,3,4,8,NA,4,7,15,13,NA,14,NA,14,7,5,6,NA
Inventory Turnover (x),274490,7.36,NA,1.38,5.38,4.31,1.93,NA,6,1,33,4,3,0,NA,10,4,NM,NA,NA,NA,22,NA,NA,9,22,NA,10,3,1,20,5,3,NA,4,NM,4,NA,7,NA,NA,NA,28,1,NA,18,4,NA,7,13,9,2,4,5,3,NA,6,5,NA,NA,3,NA,NA,NA,NA,18,6,NA,NA,4,12,20,NA,3,1,NM,3,25,NA,3,14,11,200,NM,13,2,3,NA,NA,NA,5,NA,4,4,4,67,28,26,2,2,NA,7,2,NA,NA,5,NA,24,NA,NA,20,5,78,4,4,0,9,30,36,NA,NA,10,5,4,75,NA,7,64,14,NA,NA,3,NA,17,6,23,15,NA
Fixed Asset Turnover (x),274488,0.25,NA,4.26,0.87,0.30,107.35,NA,48,6,2,3,3,0,14,12,4,32,NA,11,13,6,NA,1,0,0,NA,2,6,4,0,0,2,NA,8,7,0,3,2,0,13,10,1,7,NA,0,7,0,1,1,4,6,10,8,1,NA,4,1,NA,NA,9,NA,NA,38,NA,2,14,NA,4,4,0,6,NA,2,50,1,4,1,NA,3,3,2,1,2,73,0,2,NA,1,5,12,NA,6,3,27,5,4,0,2,2,NA,4,4,29,13,2,NA,1,NA,4,20,0,3,7,8,0,5,0,1,35,1,3,4,10,27,NA,2,1,15,87,NA,7,NA,4,1,1,0,NA
Total Asset Turnover (x),274487,0.21,NA,0.32,0.60,0.19,2.03,NA,2,1,0,1,0,0,0,1,1,2,NA,1,1,2,NA,0,0,0,NA,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,NA,0,2,0,1,1,1,1,0,1,0,0,1,0,NA,NA,0,NA,NA,4,NA,1,1,NA,1,0,0,4,NA,1,1,1,2,1,NA,1,1,1,0,0,4,0,1,NA,0,1,1,NA,1,1,1,1,1,0,0,1,NM,1,1,1,1,1,1,1,NA,0,0,0,2,1,2,0,1,0,0,1,0,2,0,2,1,NA,1,1,3,1,NA,1,NA,2,0,0,0,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"496,000",(487),"1,064,000","335,000","189,245",59,NA,"223,804","-318,000","55,572","66,000","399,000","-3,719",-929,"48,486","263,700","1,759",-64,766,"28,141","2,841",NA,"215,900","1,713,000","248,738",NA,"109,383","7,196","-2,628","1,251,000","2,097,000","2,477","9,000","241,284",-950,"1,483,000","150,900","-2,000","1,662,768","53,647",598,"3,350,000","15,024",NA,"484,000",-505,"8,509","124,802","1,428","2,800,000","-85,862","174,400","468,000","-49,000",-297,"122,000","487,653",NA,NA,"88,800","-2,970",NA,"28,829",NA,"1,803,000","-16,000",662,"104,000","71,000","1,333,000","1,102,000",NA,"-460,000","77,600","3,421,000","2,977,000","706,000",-36,"248,000","25,525","14,464","2,420,000",-67,"-941,000","1,337","1,275,000",-328,-54,-645,"2,984,000",-959,"-8,000","4,060",-139,"-86,371","-702,000","1,173,000",587,"-8,115","1,755","15,022","-77,000","5,610","12,953","-164,000",115,"1,221,000",NA,"6,394,000",NA,"2,870,000","743,000",-950,"124,200",-103,"-28,295","1,310,000","51,626",373,"474,956","30,668","-863,000","3,041","118,000",-31,-349,"-185,742","158,606","-77,000",NA,"-68,900",29,"3,170,000","39,637","8,289,000","1,514,000",NA
Cash from Investing,272601,"(964,000)","(1,467)","1,358,000","(532,000)","(161,234)",(1),NA,"-9,247","-1,823,000","98,420","-88,000","-291,000","-9,322","1,353","-7,222","-123,400",-145,-22,-254,"-5,371","2,126",NA,"54,500","-1,155,000","-159,511",NA,"-168,618","2,522",877,"-480,000","-2,302,000",-94,-356,"-43,556","-1,555","-3,209,000","-162,600","-33,000","-498,326","-9,120","-42,996","-803,000","-10,042",NA,"-1,871,000",-604,"-6,816","-136,076","-1,657","-1,977,000","-2,719","-24,800","-266,000","-228,000",-333,"-295,000","2,521",NA,NA,"-55,600","-117,126",NA,"-6,825",NA,"-1,151,000","-435,000",-673,"-218,000","-105,000","-508,000","-723,000",NA,"-217,000","-4,855","-727,000","-310,000","-1,577,000",NA,"-194,000","-17,944","-22,006","-741,000",-8,"39,000",160,"-386,000",261,NA,-7,"-56,000",NA,"-53,000",-91,NA,"-89,486","-309,000","-391,000",-107,"1,049",NA,"-15,764","-68,000",-3,-872,"24,000",NA,"47,000",NA,"-29,436,000",NA,"-1,598,000","158,000","-23,577","-89,100",5,"-20,147","-234,000","-69,630",-340,"-138,293","-4,020","-579,000",-820,"-6,000",NA,-5,"835,665","-174,835","-23,000",NA,"-21,900",29,"-549,000","-270,857","-6,110,000","-1,639,000",NA
Cash from Financing,272618,"489,000",469,"21,509,000","106,000","(118,534)",(86),NA,"-210,957","-1,680,000","-51,828","-1,306,000","-534,000","1,810",NA,"-5,599","-154,400","-1,105",NA,-157,"-35,647","-7,376",NA,"-237,700","-519,000","-107,749",NA,"25,241","5,749",-74,"-1,438,000","1,820,000","-1,675",453,"-306,565","-5,992","1,747,000","-43,300","43,000","-495,824","-116,951","39,247","-2,474,000","-11,707",NA,"1,380,000","1,289","-8,228","60,139","-1,103","-3,874,000","16,462","-187,100","673,000","-248,000",-20,"-249,000","-584,003",NA,NA,"-156,600","85,335",NA,"-84,839",NA,"-725,000","-925,000",91,"-41,000","-303,000","-1,181,000","-818,000",NA,"-264,000","-61,777","-1,740,000","-386,000","-262,000",NA,"-1,094,000","-10,351","13,918","-558,000",102,"-1,181,000","-3,075","-716,000",-114,-20,-22,"-3,045,000","2,372","-263,000",-860,-16,"-53,442","929,000","-686,000",-674,"-1,588","-1,753","-10,195","128,000","-1,341","-8,536","-216,000",-7,"-808,000",NA,"12,310,000",NA,"-1,080,000","-776,000","32,463","-41,600",NA,"24,682","-1,784,000","-17,541",-29,"-109,237","121,033","1,096,000",-187,"-162,000",22,343,"-714,823","-400,352","200,000",NA,"74,400",-151,"-1,998,000","144,211","-2,383,000","450,000",NA
Foreign Exchange Rate Adj.,272619,NA,-11.57,NA,NA,NA,NA,NA,"25,039.00","10,000.00",NA,NA,"11,000.00",-300.49,NA,-57.65,"-1,800.00",NA,NA,16.14,NA,-3.95,NA,NA,NA,NA,NA,"1,671.00",745.70,4.53,NA,NA,NA,NA,395.00,NA,NA,"2,300.00","-1,000.00",NA,"-7,510.61",-21.86,NA,259.62,NA,NA,NA,NA,NA,NA,"70,000.00",298.00,"1,100.00","8,000.00",NA,NA,"-45,000.00","-1,609.42",NA,NA,"-3,500.00",2.31,NA,"1,176.69",NA,"7,000.00",NA,2.76,"-111,000.00","6,000.00",NA,NA,NA,NA,NA,"2,000.00",NA,NA,NA,NA,NA,NA,"3,000.00",NA,"18,000.00",616.97,"-4,000.00",NA,NA,NA,NA,-11.41,"21,000.00",120.71,NA,267.00,NA,NA,NA,-3.23,NA,NA,"-1,000.00","1,199.61",NA,"14,000.00",NA,NA,NA,"-203,000.00",NA,NA,NA,NA,"4,900.00",NA,-61.42,NA,"-7,330.02",NA,NA,NA,"1,000.00",283.29,NA,NA,NA,104.00,"-11,369.00",NA,NA,"2,200.00",-0.08,"36,000.00","-1,930.00",NA,NA,NA
Net Change in Cash,272621,"21,000","(1,497)","23,931,000","(91,000)","(90,523)",(28),NA,"28,639.00","-3,811,000.00","102,163.27","-1,328,000.00","-415,000.00","-11,530.99",424.03,"35,608.28","-15,900.00",508.26,-85.89,370.94,"-12,877.00","-2,413.61",NA,"32,700.00","39,000.00","-18,522.00",NA,"-32,323.00","16,212.18","-1,820.85","-667,000.00","1,615,000.00",708.37,"9,096.94","-108,442.00","-8,496.64","21,000.00","-52,700.00","7,000.00","668,618.00","-79,934.32","-3,172.75","73,000.00","-6,465.60",NA,"-7,000.00",179.63,"-6,534.75","48,865.00","-1,332.23","-2,981,000.00","-71,821.00","-36,400.00","883,000.00","-525,000.00",-650.46,"-467,000.00","-95,438.36",NA,NA,"-126,900.00","-34,758.35",NA,"-61,658.50",NA,"-66,000.00","-1,376,000.00",83.27,"-266,000.00","-331,000.00","-356,000.00","-439,000.00",NA,"-941,000.00","10,968.00","956,000.00","2,281,000.00","-1,133,000.00",-35.95,"-1,040,000.00","-2,770.56","6,376.36","1,124,000.00",27.49,"-1,595,000.00",-960.39,"169,000.00",-181.66,-74.17,-674.46,"-117,000.00","1,401.58","-303,000.00","3,229.63",-154.33,"-229,032.00","-82,000.00","96,000.00",-193.38,"-8,657.30",2.05,"-10,936.52","-18,000.00","5,466.33","3,544.75","-342,000.00",107.50,"460,000.00",NA,"-10,935,000.00",NA,"192,000.00","125,000.00","7,936.00","-1,600.00",-98.62,"-23,820.82","-708,000.00","-42,875.18",3.38,"227,426.00","147,681.36","-345,000.00","2,317.80","-50,000.00",-9.05,-11.22,"-40,993.00","-427,950.00","100,000.00",NA,"-14,200.00",-93.27,"659,000.00","-88,939.00","-204,000.00","325,000.00",NA
Capital Expenditure,272592,"(951,000)","(1,467)","(344,000)","(549,000)","(196,418)",NA,NA,"-20,114.00","-468,000.00","-3,777.84","-88,000.00","-208,000.00","-8,655.56",-13.00,"-8,778.63","-125,400.00",-170.89,-22.88,-246.20,-199.00,-704.22,NA,"-134,700.00","-1,123,000.00","-170,028.00",NA,"-106,875.00","-2,530.00",NA,"-443,000.00","-2,231,000.00",-91.89,-12.40,"-48,375.00",-72.96,"-3,146,000.00","-158,300.00","-45,000.00","-494,784.00","-8,583.55",-164.65,"-853,000.00","-1,486.20",NA,"-1,881,000.00",-151.82,NA,"-14,914.00","-1,908.16","-1,780,000.00","-2,610.00","-24,800.00","-143,000.00","-382,000.00",-1.62,"-268,000.00","-291,089.67",NA,NA,"-53,200.00","-18,196.07",NA,"-3,412.40",NA,"-1,197,000.00","-192,000.00",NA,"-213,000.00","-62,000.00","-507,000.00","-745,000.00",NA,"-221,000.00",-76.00,"-712,000.00","-343,000.00","-1,052,000.00",NA,"-171,000.00","-2,884.46","-5,344.56","-503,000.00",-7.71,"-71,000.00","-1,590.89","-475,000.00",-8.00,NA,-7.13,"-55,000.00",NA,"-54,000.00",-538.58,NA,"-63,346.00","-309,000.00","-428,000.00",-106.95,-222.64,NA,"-3,586.85","-83,000.00",-2.57,-190.61,"-158,000.00",NA,"-289,000.00",NA,"-1,719,000.00",NA,"-1,461,000.00","-122,000.00","-20,266.00","-94,400.00",NA,"-16,021.33","-252,000.00","-62,833.40",-4.20,"-138,284.00","-4,044.40","-520,000.00",-208.55,"-5,000.00",NA,-22.20,"-219,124.00","-167,260.00","-17,000.00",NA,"-29,300.00",NA,"-265,000.00","-270,857.00","-5,958,000.00","-552,000.00",NA
