SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4007308,4348291,4092820,4010203,4306680,4972886,5737378,4066994,4004086,4994491,4069317,4133271,4338167,4714599,4989802,4101861,5144759,6863895,7192475,4206401,5992950,6950796,4150067,4074390,4072680,4412084,4388431,8581385,25869381,4004350,4001616,5330448,7682850,4068060,4896737,4121470,4040823,4977218,4004341,4619073,4773271,4111501,4968132,5155441,4057056,4914509,10721065,4144672,4981251,113873,4275565,4992262,108009705,4004201,19230515,4010641,4773655,5730751,6623431,4095387,4350960,4990439,4996606,20085583,4283738,105223,4355113,29724772,4547508,4275772,4004136,4999128,4120239,4398514,4100855,4004318,4121199,14345870,4004104,4914124,4970781,4095638,4987965,4069640,4982229,105135,114744693,4352316,4989735,4087349,110714273,4280272,4987518,6675493,4385530,4069910,4021829,4812824,4915902,5931488,10836633,4066321,4910566,9037983,4014547,4355493,4010846,101477040,4041363,4210825,4010841,4095757,4987464,6331267,4864143,4911452,4980858,4995500,9385215,4135999,4976675,4001600,4968196,4070675,10303371,4915603,4884928,4064204,4228223,138815179,4107956,4987606,4011157,4242781,4057229,4011165,4001764
,,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022,FQ12022
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,3/31/2022,9/30/2021,3/31/2022,3/31/2022,9/30/2021,3/31/2022,,4/2/2022,3/31/2022,3/31/2022,5/1/2021,12/31/2021,3/31/2022,9/30/2021,3/31/2022,8/29/2021,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,,3/31/2022,3/31/2022,3/31/2022,,3/26/2022,3/31/2022,9/30/2021,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,9/30/2021,3/31/2022,7/31/2021,,3/31/2022,3/31/2022,5/31/2021,6/30/2021,9/30/2021,3/31/2022,4/2/2022,4/1/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,,6/30/2021,3/27/2022,9/30/2021,,9/30/2021,,3/31/2022,1/31/2022,3/31/2022,6/30/2021,3/31/2022,3/31/2022,5/22/2021,,5/1/2021,3/31/2022,3/31/2022,4/30/2021,3/31/2022,7/31/2021,5/1/2021,3/31/2022,3/31/2022,3/31/2022,3/31/2022,6/30/2021,3/31/2022,3/31/2022,,3/31/2022,6/30/2021,3/31/2022,,4/2/2022,7/31/2021,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,3/31/2022,9/30/2021,3/31/2022,3/31/2022,11/30/2021,9/30/2021,3/31/2022,3/31/2022,3/31/2022,,8/31/2021,3/31/2022,3/31/2022,3/31/2022,3/27/2022,3/31/2022,3/31/2022,10/2/2021,3/31/2022,3/31/2022,12/31/2021,3/31/2022,3/31/2022,3/31/2022,12/31/2021,4/30/2021,3/31/2022,9/30/2021,3/31/2022,10/2/2021,3/31/2022,,1/28/2022,3/31/2022,3/31/2022,6/30/2021,3/31/2022,3/31/2022,
Financial Filing Date,309159,5/5/2023,3/16/2023,4/28/2023,8/3/2023,2/22/2023,5/15/2023,,5/4/2023,4/26/2023,5/11/2023,6/2/2022,2/2/2023,8/10/2023,2/23/2023,5/10/2023,10/6/2022,4/26/2023,4/21/2022,5/30/2023,5/4/2023,4/28/2023,,4/26/2023,4/27/2023,4/27/2023,,5/11/2023,5/12/2022,2/19/2023,4/20/2023,5/5/2023,5/11/2023,9/22/2023,4/26/2023,5/11/2023,5/9/2023,4/20/2023,5/3/2023,4/27/2023,7/14/2023,2/22/2023,5/4/2023,9/13/2022,,5/3/2023,5/15/2023,11/4/2022,7/28/2022,2/15/2023,5/3/2023,5/11/2023,4/26/2023,4/25/2023,4/28/2023,8/31/2023,4/26/2023,8/29/2023,,8/13/2021,5/3/2023,3/15/2023,,2/23/2023,,4/27/2023,3/1/2023,5/30/2023,8/3/2022,4/27/2023,4/21/2023,6/24/2022,,6/2/2022,5/2/2023,5/2/2023,5/26/2022,4/28/2023,9/28/2022,6/7/2022,5/11/2023,5/12/2023,5/4/2023,5/15/2023,8/4/2022,8/8/2023,4/25/2023,,5/19/2023,8/26/2022,4/27/2023,,5/4/2023,12/7/2022,8/18/2023,5/4/2023,4/27/2023,4/26/2023,5/10/2023,7/27/2023,2/22/2023,5/12/2023,4/28/2023,4/20/2023,2/14/2023,4/26/2023,5/26/2023,5/3/2023,,9/13/2022,5/31/2022,8/2/2023,5/10/2023,5/11/2023,4/25/2023,4/22/2022,3/6/2023,5/4/2023,5/12/2023,5/31/2023,7/24/2023,5/15/2023,4/25/2023,1/27/2023,6/6/2022,5/26/2023,2/28/2023,5/9/2023,11/2/2022,4/26/2023,,3/9/2023,4/19/2022,4/27/2023,11/9/2022,4/27/2023,5/3/2023,
Spot Exchange Rate,275660,1.000000,0.724323,1.000000,1.000000,0.724323,0.239114,NA,1.000000,1.000000,0.030053,1.000000,1.000000,0.738596,0.724323,0.239114,1.000000,0.107080,0.000044,0.800987,1.000000,0.000070,NA,1.000000,1.000000,1.000000,NA,1.000000,1.110864,0.724323,1.000000,1.000000,0.030053,1.110864,1.000000,1.110864,1.000000,1.000000,0.800987,1.000000,1.110864,0.724323,1.000000,0.801892,NA,1.000000,0.239114,0.072697,1.000000,0.724323,1.000000,1.000000,1.000000,1.000000,1.000000,0.750244,1.000000,1.110864,NA,0.013453,1.000000,0.724323,NA,1.350165,NA,1.000000,1.000000,0.800987,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,0.801892,1.000000,0.030053,0.224618,1.000000,0.239114,1.000000,0.694686,1.000000,NA,0.800987,0.240703,1.000000,NA,1.000000,1.390608,0.750244,1.000000,1.000000,1.000000,1.410935,0.000044,0.724323,1.110864,1.000000,0.062417,0.724323,1.000000,0.800987,1.000000,NA,1.000000,1.110864,1.000000,1.000000,1.000000,1.000000,0.000044,0.067158,1.000000,0.030053,0.727114,1.000000,1.000000,1.000000,0.152956,1.000000,0.800987,0.724323,1.000000,1.000000,1.000000,NA,1.000000,0.000044,1.000000,1.000000,1.000000,1.000000,NA
Average Exchange Rate,275661,1.000000,0.734687,1.000000,1.000000,0.734687,0.243017,NA,1.000000,1.000000,0.030263,1.000000,1.000000,0.739567,0.734687,0.243017,1.000000,0.107125,0.000044,0.789671,1.000000,0.000070,NA,1.000000,1.000000,1.000000,NA,1.000000,1.122085,0.734687,1.000000,1.000000,0.030263,1.122085,1.000000,1.122085,1.000000,1.000000,0.789671,1.000000,1.122085,0.734687,1.000000,0.813700,NA,1.000000,0.243017,0.069070,1.000000,0.734687,1.000000,1.000000,1.000000,1.000000,1.000000,0.724649,1.000000,1.122085,NA,0.013556,1.000000,0.734687,NA,1.377952,NA,1.000000,1.000000,0.789671,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,0.813700,1.000000,0.030263,0.226886,1.000000,0.243017,1.000000,0.676749,1.000000,NA,0.789671,0.242252,1.000000,NA,1.000000,1.397103,0.724649,1.000000,1.000000,1.000000,1.410831,0.000044,0.734687,1.122085,1.000000,0.066765,0.734687,1.000000,0.789671,1.000000,NA,1.000000,1.122085,1.000000,1.000000,1.000000,1.000000,0.000044,0.068378,1.000000,0.030263,0.728753,1.000000,1.000000,1.000000,0.153719,1.000000,0.789671,0.734687,1.000000,1.000000,1.000000,NA,1.000000,0.000044,1.000000,1.000000,1.000000,1.000000,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"7,000","2,363","6,544,000","234,000","379,990",39,NA,"242,791","12,237,000","56,089","2,807,000","1,911,000","65,533","8,248","743,482","67,000","10,306","2,441","1,295","30,453","37,244",NA,"294,500","884,000","13,338",NA,"242,934","88,294","22,112","2,032,000","497,000","1,925","7,006","289,984","179,619","947,000","200,900","106,703","16,913","2,158,409","79,867","1,111,000","105,544",NA,"2,476,000",239,"3,757","306,542","19,924","28,613,000","162,619","684,300","554,000","2,016,000","17,373","2,154,000","6,529,771",NA,"965,587","1,019,100","69,454",NA,"319,854",NA,"2,476,000","3,394,000","3,271",NA,"592,000","177,000","2,309,000",NA,"1,609,000","53,325","2,632,000","7,168,000","15,740,000","1,200","1,798,000","236,847","32,735","2,357,500",NA,"2,423,000","126,317","3,359,000",NA,"7,639",39,"5,353,000",NA,"878,000","19,562","1,300","236,133","2,174,000","1,571,000",816,"12,278","142,977","412,261","344,000","11,238","65,899","769,000","6,947","19,030",NA,"39,310,000","123,270","1,909,000","114,000","63,846","378,100",841,"80,004","1,969,245","416,138","3,988","112,931","14,860","6,040,000","19,677","261,000",73,858,"624,666","2,067,873","389,000",NA,"192,959","1,520","2,638,000","275,688","1,789,000","604,000",NA
