SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Property, Plant & Equipment",268541,"29,578,000","15,979","5,142,000","8,082,000","6,892,768",5,NA,"658,199","10,755,000","458,491","4,626,000","6,383,000","318,100",99,"127,130","2,646,200","2,614","2,753",190,"42,949","73,790",NA,"1,035,800","24,229,000","7,038,286",NA,"1,626,376","96,135","2,638","33,480,000","60,121,000","19,063","2,458","960,130","34,529","113,571,000","1,383,300","588,588","18,295,889","163,297","9,423","80,865,000","52,622",NA,"65,465,000","2,923","449,604","1,665,839","72,237","37,583,000","251,789","412,600",NA,"15,780,000",2,"5,183,000","6,612,419",NA,NA,"422,600","88,320",NA,"282,725",NA,"26,366,000","3,793,000","3,957",NA,"3,245,000","35,557,000","29,720,000",NA,"9,045,000","24,520","32,289,000","22,945,000","16,238,000",108,"8,651,000","187,647","182,278","37,813,300",NA,"4,620,000","175,431","10,254,000",NA,37,NA,"1,547,000",NA,"1,467,000","29,550",129,"1,704,025","9,719,000","31,657,000","4,216","23,183",NA,"212,932","1,739,000","4,161","12,500","4,007,000",NA,"19,425,232",NA,"7,610,000","28,225","59,918,000","15,251,000","498,878","1,165,200","3,567","434,003","27,476,399","615,040",271,"5,825,971","1,369,064","16,748,000","12,956","333,000",NA,829,"8,830,423","5,093,938","130,000",NA,"585,855",914,"30,876,000","3,734,099","127,337,000","29,186,000",NA
Total Assets,268552,"36,197,000","18,442","59,196,000","12,476,000","10,622,837",414,NA,"19,512,853","135,801,000","1,509,581","10,546,000","53,363,000","840,376","8,693","1,766,873","22,539,900","49,903","6,875","7,782","1,069,217","311,433",NA,"3,036,900","35,202,000","8,223,524",NA,"7,075,049","576,174","31,588","40,452,000","100,852,000","34,656","84,777","10,501,047","1,303,146","171,220,000","11,391,700","1,783,778","21,814,611","6,559,653","265,874","109,192,000","386,894",NA,"92,698,000","10,823","497,012","2,890,830","143,076","252,986,000","1,265,322","16,266,400",NA,"30,257,000","173,084","22,073,000","25,012,331",NA,NA,"9,518,700","162,045",NA,"2,351,313",NA,"52,208,000","38,912,000","17,473",NA,"51,244,000","69,135,000","48,811,000",NA,"14,689,000","2,594,233","40,055,000","51,200,000","37,262,000","1,316","18,082,000","594,711","361,019","50,877,700",0,"62,894,000","486,290","45,855,000",NA,"7,855",124,"40,235,000",NA,"11,649,000","103,254","3,916","7,087,996","41,903,000","39,361,000","25,703","84,975","143,223","907,721","14,204,000","98,611","98,127","10,316,000","7,113","23,992,705",NA,"122,924,000","8,748,389","74,222,000","30,642,000","2,971,380","5,128,900","22,870","1,562,086","32,939,998","1,383,951","11,789","6,560,285","2,658,798","159,366,000","72,705","5,812,000","23,209","1,987","13,249,487","22,102,866","3,204,000",NA,"3,253,045","7,522","60,402,000","5,994,533","365,716,000","46,049,000",NA
Net Debt,268593,"14,162,000","(2,363)","30,310,000","5,765,000","6,916,982",(39),NA,"2,865,427","45,504,000","759,437","5,545,000","15,513,000","282,720","-8,248","-690,009","9,453,900","-5,006","-2,441","5,218","480,155","201,343",NA,"1,718,200","13,017,000","2,268,484",NA,"2,737,987","72,050","-19,056","14,780,000","41,622,000","13,883","41,830","2,805,418","477,443","69,477,000","5,613,100","208,541","5,033,365","182,182","-44,076","49,219,000","-86,091",NA,"36,976,000","2,401","190,098","741,383","4,827","108,371,000","239,179","3,054,400","-117,000","5,712,000","-17,373","7,428,000","-697,623",NA,"-964,366","3,152,000","-69,056",NA,"-58,192",NA,"37,012,000","4,961,000","-3,271",NA,"12,600,000","32,004,000","18,844,000",NA,"4,664,000","955,653","28,358,000","20,552,000","-3,498,000","-1,200","6,220,000","-138,555","153,624","45,236,300",NA,"7,216,000","-110,224","14,245,000",NA,"-7,604",-39,"22,569,000",NA,"5,237,000","-17,812","1,316","1,960,335","11,915,000","13,807,000",220,"-1,526","-120,068","73,258","5,230,000","-5,520","-54,455","2,399,000","-6,947","13,860,169",NA,"43,408,000","6,621,099","25,787,000","9,103,000","1,606,856","1,760,700",-841,"187,401","21,131,961","-235,328","-3,844","2,490,199","447,304","27,059,000","-10,493","2,501,000","4,805",-650,"5,700,161","9,857,104","169,000",NA,"979,997","-1,520","10,523,000","2,233,536","180,524,000","21,822,000",NA
Total Debt,274444,"14,169,000",0,"36,854,000","5,999,000","7,296,972",0,NA,"3,108,218","57,741,000","815,526","8,352,000","17,424,000","348,253",0,"53,474","9,520,900","5,300",0,"6,513","510,608","238,587",NA,"2,012,700","13,901,000","2,281,822",NA,"2,980,921","160,343","3,056","16,812,000","42,119,000","15,807","48,836","3,095,402","657,062","70,424,000","5,814,000","315,244","5,050,278","2,340,591","35,792","50,330,000","19,453",NA,"39,452,000","2,641","193,855","1,047,925","24,751","136,984,000","401,798","3,738,700","437,000","7,728,000",0,"9,582,000","5,832,148",NA,"1,220","4,171,100",397,NA,"261,662",NA,"39,488,000","8,355,000",0,NA,"13,192,000","32,181,000","21,153,000",NA,"6,273,000","1,008,978","30,990,000","27,720,000","12,242,000",0,"8,018,000","98,293","186,359","47,593,800",0,"9,639,000","16,092","17,604,000",NA,36,0,"27,922,000",NA,"6,115,000","1,749","2,616","2,196,468","14,493,000","15,378,000","1,036","10,752","22,909","485,519","5,574,000","5,718","11,444","3,168,000",0,"13,879,199",NA,"82,718,000","6,744,369","27,696,000","9,217,000","1,670,702","2,138,800",0,"267,405","23,101,206","180,809",144,"2,603,130","462,163","33,099,000","9,184","2,792,000","4,877",209,"6,324,827","11,924,977","558,000",NA,"1,172,956",0,"13,161,000","2,509,224","182,313,000","22,426,000",NA
Total Common Equity,268583,"9,806,000","17,952","916,000","(18,000)","2,039,579",223,NA,"5,369,954.00","-15,398,000.00","427,038.08","-534,000.00","24,158,000.00","246,261.23","8,459.44","329,031.35","8,557,000.00","26,443.28","6,598.66","-2,027.05","396,087.00","17,997.44",NA,"317,800.00","9,161,000.00","2,569,512.00",NA,"2,610,184.00","194,443.46","25,712.11","13,184,000.00","25,737,000.00","15,200.98","31,119.52","4,329,776.00","185,505.44","47,484,000.00","3,834,100.00","1,075,006.01","8,188,673.00","3,650,299.93","204,318.41","25,924,000.00","236,872.62",NA,"23,491,000.00","5,091.66","266,426.23","1,391,332.00","96,206.00","44,985,000.00","427,166.00","9,561,400.00","16,655,000.00","12,395,000.00","19,795.76","7,017,000.00","13,628,304.82",NA,"2,073,450.75","3,046,000.00","158,552.17",NA,"1,065,820.56",NA,"-2,033,000.00","-2,328,000.00","14,660.54",NA,"25,511,000.00","30,618,000.00","9,249,000.00",NA,"5,117,000.00","1,422,751.00","-3,710,000.00","445,000.00","10,417,000.00","1,304.85","2,675,000.00","404,635.34","82,275.26","-5,990,800.00",-2.37,"-529,000.00","365,906.22","14,930,000.00",NA,"7,783.50","-1,286.56","-1,760,000.00",NA,"-316,000.00","42,328.71",-128.54,"2,508,006.00","13,287,000.00","13,461,000.00","9,225.53","54,783.08","110,963.35","138,023.77","3,980,000.00","86,542.69","71,713.02","4,341,000.00","6,620.64","5,993,694.00",NA,"-1,541,000.00","1,461,731.84","15,145,000.00","7,751,000.00","799,972.00","1,118,600.00","12,649.79","751,800.38","3,988,928.00","1,024,153.93","9,323.58","1,600,104.00","294,220.92","72,462,000.00","43,984.61","1,577,000.00","16,576.20","1,575.30","3,489,082.00","1,673,292.00","695,000.00",NA,"1,119,549.00","5,188.31","18,821,000.00","2,620,123.00","83,762,000.00","11,281,000.00",NA
Total Equity,268585,"9,935,000","17,952","916,000","852,000","2,039,579",223,NA,"5,428,883.00","-15,268,000.00","425,765.65","-533,000.00","24,160,000.00","344,526.26","8,459.44","339,755.15","8,635,900.00","26,443.28","6,598.66","-2,027.05","396,087.00","35,756.80",NA,"317,800.00","9,951,000.00","2,569,512.00",NA,"2,670,725.00","210,091.09","25,712.11","13,195,000.00","29,130,000.00","15,201.27","31,119.52","4,329,776.00","228,593.65","51,252,000.00","3,851,100.00","1,075,006.01","8,206,033.00","3,650,299.93","201,949.15","40,822,000.00","238,725.79",NA,"23,491,000.00","5,474.05","282,106.68","1,391,332.00","96,206.00","45,084,000.00","429,464.00","9,566,700.00","16,896,000.00","12,629,000.00","19,795.76","7,033,000.00","15,983,670.29",NA,"2,073,976.77","3,104,200.00","158,552.17",NA,"1,065,820.56",NA,"414,000.00","-2,328,000.00","14,660.54",NA,"25,511,000.00","31,707,000.00","9,229,000.00",NA,"5,117,000.00","1,422,751.00","-1,259,000.00","445,000.00","10,417,000.00","1,304.85","2,675,000.00","413,938.45","93,780.55","-5,990,800.00",-2.37,"-38,000.00","441,479.68","15,004,000.00",NA,"7,783.50","-1,342.88","-1,760,000.00",NA,"-298,000.00","42,328.71",-128.54,"2,512,077.00","13,287,000.00","13,461,000.00","9,225.53","58,436.63","110,963.35","154,736.73","3,980,000.00","87,013.00","71,713.02","4,365,000.00","6,620.64","5,993,694.00",NA,"-1,130,000.00","1,766,285.27","24,907,000.00","12,898,000.00","799,972.00","1,120,600.00","12,649.79","746,729.59","3,988,928.00","1,024,365.41","9,323.58","1,600,104.00","311,260.37","74,022,000.00","43,984.61","1,587,000.00","16,576.20","1,575.30","3,625,066.00","1,707,448.00","695,000.00",NA,"1,119,549.00","5,188.31","20,410,000.00","2,657,010.00","85,175,000.00","13,971,000.00",NA
Current Ratio (x),274464,0.65,5.03,1.44,1.23,1.51,2.38,NA,1.49,1.30,0.38,1.72,1.23,2.45,36.72,1.14,0.96,1.52,16.77,1.83,1.45,1.23,NA,1.20,0.91,0.20,NA,1.34,1.72,6.24,1.46,0.79,1.32,26.48,1.44,1.81,0.72,0.54,1.86,0.40,6.26,10.15,1.14,2.34,NA,0.94,1.42,0.27,3.87,1.10,1.18,2.17,0.96,NA,1.55,1.13,2.19,2.71,NA,NA,1.59,26.46,NA,1.52,NA,1.43,0.74,7.88,NA,0.54,0.47,0.83,NA,1.77,32.68,1.24,1.17,1.87,104.19,1.31,3.17,0.91,1.10,0.06,0.99,5.77,1.58,NA,113.76,0.09,0.62,NA,1.10,1.40,0.72,1.49,1.31,0.96,1.46,1.86,136.71,1.56,1.39,10.35,5.24,1.72,14.28,0.76,NA,2.04,1.61,1.16,0.95,2.37,1.18,1.52,1.42,0.40,2.50,2.39,0.25,0.65,1.16,2.78,1.03,0.57,3.41,0.78,1.38,1.17,NA,1.46,2.87,1.18,1.52,0.76,0.73,NA
Quick Ratio (x),274465,0.30,4.85,0.90,0.88,1.34,1.32,NA,1.02,0.29,0.31,1.13,0.61,0.49,36.72,1.01,0.29,1.39,15.82,1.78,1.32,0.82,NA,0.93,0.49,0.13,NA,0.96,1.16,5.44,1.29,0.28,0.71,26.47,0.77,1.74,0.30,0.45,1.33,0.16,5.62,9.85,0.82,1.34,NA,0.65,0.64,0.25,2.61,0.87,0.96,0.84,0.63,NA,0.78,0.14,1.39,2.20,NA,NA,1.10,26.46,NA,1.46,NA,1.05,0.40,7.16,NA,0.30,0.29,0.28,NA,0.55,1.37,0.89,0.31,1.72,103.82,0.46,2.96,0.67,0.95,0.06,0.52,5.44,0.89,NA,113.59,0.09,0.49,NA,0.78,0.78,0.67,1.32,1.13,0.84,1.27,0.82,136.66,1.34,0.56,3.98,5.15,1.08,14.21,0.49,NA,1.90,0.32,0.84,0.85,0.84,0.28,0.96,0.90,0.31,2.40,2.36,0.24,0.40,0.76,2.33,0.92,0.49,2.71,0.55,0.82,0.40,NA,0.57,1.23,0.70,0.86,0.56,0.60,NA
Total Debt/Equity (%),274466,142.62,NA,"4,023.36",704.11,357.77,NA,NA,57.25,NM,191.54,NM,72.12,101.08,NA,15.74,110.25,20.04,NA,NM,128.91,667.25,NA,633.32,139.70,88.80,NA,111.62,76.32,11.89,127.41,144.59,103.99,156.93,71.49,287.44,137.41,150.97,29.33,61.54,64.12,17.72,123.29,8.15,NA,167.95,48.24,68.72,75.32,25.73,303.84,93.56,39.08,2.59,61.19,NA,136.24,36.49,NA,0.06,134.37,0.25,NA,24.55,NA,"9,538.16",NM,NA,NA,51.71,101.50,229.20,NA,122.59,70.92,NM,"6,229.21",117.52,NA,299.74,23.75,198.72,NM,NA,NM,3.65,117.33,NA,0.46,NA,NM,NA,NM,4.13,NM,87.44,109.08,114.24,11.23,18.40,20.65,313.77,140.05,6.57,15.96,72.58,NA,231.56,NA,NM,381.84,111.20,71.46,208.85,190.86,NA,35.81,579.13,17.65,1.55,162.69,148.48,44.72,20.88,175.93,29.42,13.26,174.48,698.41,80.29,NA,104.77,NA,64.48,94.44,214.05,160.52,NA
Total Debt / Total Capital (%),274467,58.78,NA,97.58,87.56,78.16,NA,NA,36,136,66,107,42,50,NA,14,52,17,NA,145,56,87,NA,86,58,47,NA,53,43,11,56,59,51,61,42,74,58,60,23,38,39,15,55,8,NA,63,33,41,43,20,75,48,28,3,38,NA,58,27,NA,0,57,0,NA,20,NA,99,139,NA,NA,34,50,70,NA,55,41,104,98,54,NA,75,19,67,114,NA,100,4,54,NA,0,NA,107,NA,105,4,105,47,52,53,10,16,17,76,58,6,14,42,NA,70,NA,101,79,53,42,68,66,NA,26,85,15,2,62,60,31,17,64,23,12,64,87,45,NA,51,NA,39,49,68,62,NA
Total Debt / EBITDA (x),274468,4.90,NA,2.77,0.53,5.89,NA,NA,1,185,NM,5,3,27,NA,1,5,1,NA,NM,4,9,NA,6,4,NM,NA,3,1,NM,2,5,6,NA,2,3,6,3,3,NM,3,1,4,0,NA,6,3,5,2,NM,10,5,3,0,2,NA,3,4,NA,0,5,NM,NA,1,NA,3,1,NA,4,4,5,3,NA,3,3,NM,2,5,NA,3,1,3,3,NA,2,0,2,NA,0,NA,2,NA,3,0,NA,3,2,3,0,1,NA,8,4,0,0,1,NA,4,NA,5,NM,1,4,2,3,NA,1,NM,0,0,NM,NM,3,NM,3,25,NM,5,3,1,NA,2,NA,2,6,3,5,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,271468,"1,800,000",34,"6,238,000","3,890,000","508,535",142,NA,"9,074,125","13,991,000","50,261","1,470,000","4,718,000","15,475",150,"388,580","2,653,300","20,315",843,773,"158,207","99,776",NA,"364,100","2,763,000","812,496",NA,"913,929","144,692","2,586","3,413,000","4,279,000","5,031","8,640","2,051,901","147,100","7,011,000","1,363,200","255,118","2,467,344","411,244","20,524","20,491,000","79,063",NA,"5,327,000","3,957","15,751","475,770","7,060","34,476,000","375,853","1,376,500","4,343,000","3,680,000","1,948","4,284,000","2,336,630",NA,"219,041","1,163,100",NA,NA,"2,113,090",NA,"14,945,000","17,028,000",NA,"4,431,000","3,078,000","4,293,000","41,298,000",NA,"3,887,000","546,050","7,405,000","24,422,000","4,694,000",NA,"4,865,000","107,501","95,499","5,665,600",58,"62,674,000","28,307","8,829,000",NA,191,149,"4,819,000",NA,"1,892,000","23,160",149,"1,954,400","8,797,000","2,915,000","2,656","14,337","3,205","185,632","2,388,000","39,508","31,748","2,346,000",86,"5,445,000",NA,"9,728,000","13,937","8,349,000","13,694,000","1,342,175","1,792,900",938,"586,228","1,059,231","445,331","2,523","1,119,793","919,121","15,716,000","19,814","1,878,000",NA,103,"1,267,409","16,456,546","1,218,000",NA,"932,650","2,653","37,119,000","570,780","33,554,000","2,718,000",NA
