issuer_name,cusip,instrument_id,mi_key,spread_target,spread_source,predicted_spread,cheapness_bps,sp_rating,rating_numeric,modified_duration
Polaris Inc.,731068AB8,SPS1968850119,6331267,156.18456,z_spread_bid,237.1914628008021,-81.0069028008021,BBB-,10.0,4.06958
Royal Caribbean Cruises Ltd.,780153AG7,SPS14047590,4980858,48.86922,z_spread_bid,142.04178119154318,-93.17256119154318,BBB,9.0,1.3004
RTX Corporation,U7532YAM6,SPS669021934,4001600,114.20866,z_spread_bid,107.00692595832184,7.201734041678151,BBB+,8.0,8.19198
Science Applications International Corporation,U80678AB8,SPS64620958,4070675,97.30474,z_spread_bid,168.32193952247562,-71.01719952247562,BBB,9.0,4.84803
Six Flags Entertainment Corporation,150190AD8,SPS622854468,4121677,216.43848,z_spread_bid,269.2993737771013,-52.860893777101325,B,15.0,2.78098
Southwest Airlines Co.,844741AN8,SPS14040804,4121199,107.47016,z_spread_bid,139.59869856154643,-32.12853856154642,BBB,9.0,0.72463
"Southwest Gas Holdings, Inc.",844895AL6,SPS14035364,4884928,51.92218,z_spread_bid,162.69811688354395,-110.77593688354395,BBB+,8.0,0.17362
"Southwest Gas Holdings, Inc.",844895AM4,SPS14076651,4884928,51.92218,z_spread_bid,161.87573388682588,-109.95355388682589,BBB+,8.0,0.17362
Sysco Corporation,871829AD9,SPS14042604,4064204,111.70689,z_spread_bid,146.43652372501623,-34.72963372501623,BBB,9.0,0.84393
Sysco Corporation,871829AF4,SPS14058761,4064204,62.39808,z_spread_bid,146.43652372501623,-84.03844372501624,BBB,9.0,1.98065
The Boeing Company,097023AE5,SPS14002269,4004086,84.83077,z_spread_bid,227.411516488756,-142.580746488756,BBB-,10.0,4.2632
The Boeing Company,097023AG0,SPS14002271,4004086,83.88788,z_spread_bid,227.411516488756,-143.523636488756,BBB-,10.0,4.43416
The Boeing Company,097023AK1,SPS14002273,4004086,163.17634,z_spread_bid,253.26890943696569,-90.09256943696568,BBB-,10.0,9.80219
