split,n,n_positive,base_rate,pr_auc,roc_auc,brier,recall_at_top_decile
val,67,24,0.3582089552238806,0.472528081325896,0.5872093023255814,0.2912134090870927,0.16666666666666666
test,67,32,0.47761194029850745,0.5048777713985019,0.5482142857142858,0.39408883261630123,0.09375
