fold,r2,rmse,spearman,n_val
1,0.24360292194380284,279.75433927333177,0.758921088122654,24
2,0.37751693170582334,57.060470285351585,0.7536421139237733,24
3,0.04664199236778721,223.59400042185027,0.7805381214475053,24
4,0.16343347526754048,118.181145465384,0.6999876279272548,23
5,0.5444035254204631,138.08865643790594,0.8192175348573869,23
